D_kpc,A_med,A_16,A_84,n_stars,bridged,band,ratio_av
0.2,0.0363,-0.0309,0.0896,20.0,False,I,0.6043
0.3,0.0445,-0.0244,0.1082,33.0,False,I,0.6043
0.4,0.0145,-0.0236,0.0804,42.0,False,I,0.6043
0.5,0.0025,-0.0357,0.0759,59.0,False,I,0.6043
0.6,0.0151,-0.0205,0.0893,76.0,False,I,0.6043
0.7,0.0157,-0.0178,0.0894,106.0,False,I,0.6043
0.8,0.0166,-0.0156,0.0905,125.0,False,I,0.6043
0.9,0.0148,-0.0156,0.1026,139.0,False,I,0.6043
1.0,0.0172,-0.0143,0.1309,138.0,False,I,0.6043
1.1,0.0212,-0.0083,0.1482,143.0,False,I,0.6043
1.2,0.0199,-0.0077,0.1551,141.0,False,I,0.6043
1.3,0.02,-0.0076,0.1386,138.0,False,I,0.6043
1.4,0.0247,-0.0067,0.1383,132.0,False,I,0.6043
1.5,0.0243,-0.0063,0.1183,119.0,False,I,0.6043
1.6,0.0228,-0.006,0.1164,109.0,False,I,0.6043
1.7,0.0199,-0.0084,0.1128,97.0,False,I,0.6043
1.8,0.0209,-0.0083,0.1022,88.0,False,I,0.6043
1.9,0.0228,-0.0083,0.112,83.0,False,I,0.6043
2.0,0.0226,-0.0073,0.0992,79.0,False,I,0.6043
2.1,0.0219,-0.0057,0.099,73.0,False,I,0.6043
2.2,0.0222,-0.0083,0.094,66.0,False,I,0.6043
2.3,0.0218,-0.0083,0.0938,60.0,False,I,0.6043
2.4,0.0209,-0.0083,0.0935,54.0,False,I,0.6043
2.5,0.02,-0.0032,0.097,49.0,False,I,0.6043
2.6,0.02,-0.0033,0.1041,47.0,False,I,0.6043
2.7,0.02,-0.0032,0.0961,43.0,False,I,0.6043
2.8,0.0235,-0.0022,0.112,37.0,False,I,0.6043
2.9,0.0289,-0.0028,0.1122,34.0,False,I,0.6043
3.0,0.02,-0.0025,0.1014,29.0,False,I,0.6043
3.1,0.0261,-0.0019,0.0899,26.0,False,I,0.6043
3.2,0.0261,-0.0018,0.1116,20.0,False,I,0.6043
3.3,0.0395,-0.0002,0.1042,16.0,False,I,0.6043
3.4,0.0395,-0.0002,0.1042,16.0,False,I,0.6043
3.5,0.0483,0.0006,0.1186,13.0,False,I,0.6043
3.6,0.0659,0.0278,0.1868,12.0,False,I,0.6043
