D_kpc,A_med,A_16,A_84,n_stars,bridged,band,ratio_av
0.6,0.4936,0.2833,0.735,12.0,False,I,0.609
0.7,0.493,0.3542,0.5962,17.0,False,I,0.609
0.8,0.4934,0.37,0.6206,21.0,False,I,0.609
0.9,0.5663,0.435,1.0406,37.0,False,I,0.609
1.0,0.6655,0.4454,1.1254,46.0,False,I,0.609
1.1,0.8143,0.4889,1.2426,54.0,False,I,0.609
1.2,1.0987,0.5794,1.4425,72.0,False,I,0.609
1.3,1.1222,0.7136,1.5473,82.0,False,I,0.609
1.4,1.149,0.8957,1.5503,96.0,False,I,0.609
1.5,1.1669,1.0342,1.6236,97.0,False,I,0.609
1.6,1.1677,1.0416,1.5563,106.0,False,I,0.609
1.7,1.1811,1.0555,1.5766,120.0,False,I,0.609
1.8,1.2016,1.0548,1.609,137.0,False,I,0.609
1.9,1.2308,1.0522,1.6261,139.0,False,I,0.609
2.0,1.2294,1.0524,1.616,134.0,False,I,0.609
2.1,1.2346,1.0517,1.611,145.0,False,I,0.609
2.2,1.2393,1.0503,1.6005,141.0,False,I,0.609
2.3,1.2566,1.0474,1.5972,130.0,False,I,0.609
2.4,1.268,1.0518,1.5853,128.0,False,I,0.609
2.5,1.2715,1.0519,1.5989,123.0,False,I,0.609
2.6,1.2715,1.0514,1.6068,119.0,False,I,0.609
2.7,1.2931,1.0532,1.6109,114.0,False,I,0.609
2.8,1.3058,1.0567,1.6095,97.0,False,I,0.609
2.9,1.3163,1.0705,1.6303,85.0,False,I,0.609
3.0,1.316,1.0661,1.6096,78.0,False,I,0.609
3.1,1.3213,1.0661,1.6312,72.0,False,I,0.609
3.2,1.3393,1.0659,1.6948,64.0,False,I,0.609
3.3,1.343,1.0645,1.776,63.0,False,I,0.609
3.4,1.3604,1.1097,1.8246,53.0,False,I,0.609
3.5,1.3835,1.1134,1.7793,44.0,False,I,0.609
3.6,1.3568,1.1113,1.8051,42.0,False,I,0.609
3.7,1.3706,1.1311,1.8529,43.0,False,I,0.609
3.8,1.3835,1.1358,1.8659,38.0,False,I,0.609
3.9,1.3835,1.1418,1.892,36.0,False,I,0.609
4.0,1.3963,1.1656,1.9051,35.0,False,I,0.609
4.1,1.3963,1.1503,1.9301,33.0,False,I,0.609
4.2,1.3706,1.1385,1.8685,31.0,False,I,0.609
4.3,1.3906,1.1239,1.8483,28.0,False,I,0.609
4.4,1.4236,1.1142,1.8504,26.0,False,I,0.609
4.5,1.4367,1.0821,1.847,23.0,False,I,0.609
4.6,1.4236,1.0714,1.8481,22.0,False,I,0.609
4.7,1.4451,1.055,1.8501,20.0,False,I,0.609
4.8,1.4825,1.1556,1.8467,17.0,False,I,0.609
4.9,1.5625,1.2816,1.8478,16.0,False,I,0.609
5.0,1.5479,1.1999,1.8478,16.0,False,I,0.609
5.1,1.6424,1.189,1.8488,15.0,False,I,0.609
5.2,1.7165,1.2244,1.8721,12.0,False,I,0.609
5.3,1.7145,1.2293,1.8736,0.0,True,I,0.609
5.4,1.7124,1.2342,1.8751,0.0,True,I,0.609
5.5,1.7104,1.2392,1.8765,0.0,True,I,0.609
5.6,1.7084,1.2442,1.8779,0.0,True,I,0.609
5.7,1.7064,1.2491,1.8794,0.0,True,I,0.609
5.8,1.7044,1.2541,1.8808,0.0,True,I,0.609
