D_kpc,AV_target,AV_nb_min,AV_nb_med,AV_nb_max,N
0.6,0.4984,0.2861,0.4984,0.7422,12.0
0.7,0.4979,0.3576,0.4979,0.6021,17.0
0.8,0.4982,0.3736,0.4982,0.6267,21.0
0.9,0.5719,0.4393,0.5719,1.0508,37.0
1.0,0.672,0.4498,0.672,1.1365,46.0
1.1,0.8223,0.4937,0.8223,1.2548,54.0
1.2,1.1095,0.5851,1.1095,1.4567,72.0
1.3,1.1333,0.7206,1.1333,1.5625,82.0
1.4,1.1603,0.9045,1.1603,1.5655,96.0
1.5,1.1784,1.0443,1.1784,1.6395,97.0
1.6,1.1792,1.0519,1.1792,1.5716,106.0
1.7,1.1927,1.0659,1.1927,1.5921,120.0
1.8,1.2134,1.0652,1.2134,1.6248,137.0
1.9,1.2429,1.0625,1.2429,1.6421,139.0
2.0,1.2414,1.0627,1.2414,1.6319,134.0
2.1,1.2467,1.062,1.2467,1.6269,145.0
2.2,1.2515,1.0606,1.2515,1.6162,141.0
2.3,1.2689,1.0577,1.2689,1.6129,130.0
2.4,1.2805,1.0622,1.2805,1.6009,128.0
2.5,1.284,1.0622,1.284,1.6146,123.0
2.6,1.284,1.0617,1.284,1.6226,119.0
2.7,1.3058,1.0636,1.3058,1.6267,114.0
2.8,1.3187,1.0671,1.3187,1.6253,97.0
2.9,1.3293,1.081,1.3293,1.6463,85.0
3.0,1.329,1.0766,1.329,1.6254,78.0
3.1,1.3342,1.0766,1.3342,1.6472,72.0
3.2,1.3525,1.0764,1.3525,1.7114,64.0
3.3,1.3562,1.075,1.3562,1.7935,63.0
3.4,1.3737,1.1206,1.3737,1.8425,53.0
3.5,1.3971,1.1243,1.3971,1.7968,44.0
3.6,1.3702,1.1222,1.3702,1.8229,42.0
3.7,1.3841,1.1422,1.3841,1.8712,43.0
3.8,1.3971,1.147,1.3971,1.8843,38.0
3.9,1.3971,1.153,1.3971,1.9107,36.0
4.0,1.41,1.1771,1.41,1.9238,35.0
4.1,1.41,1.1616,1.41,1.9491,33.0
4.2,1.3841,1.1497,1.3841,1.8869,31.0
4.3,1.4042,1.1349,1.4042,1.8665,28.0
4.4,1.4376,1.1251,1.4376,1.8686,26.0
4.5,1.4508,1.0927,1.4508,1.8651,23.0
4.6,1.4376,1.082,1.4376,1.8662,22.0
4.7,1.4593,1.0654,1.4593,1.8683,20.0
4.8,1.4971,1.167,1.4971,1.8649,17.0
4.9,1.5779,1.2942,1.5779,1.8659,16.0
5.0,1.5632,1.2117,1.5632,1.8659,16.0
5.1,1.6586,1.2007,1.6586,1.867,15.0
5.2,1.7333,1.2364,1.7333,1.8905,12.0
5.3,1.7313,1.2414,1.7313,1.892,0.0
5.4,1.7293,1.2464,1.7293,1.8935,0.0
5.5,1.7273,1.2514,1.7273,1.8949,0.0
5.6,1.7252,1.2564,1.7252,1.8964,0.0
5.7,1.7232,1.2614,1.7232,1.8979,0.0
5.8,1.7212,1.2664,1.7212,1.8993,0.0
5.9,1.7191,1.2714,1.7191,1.9008,0.0
6.0,1.7171,1.2764,1.7171,1.9022,0.0
6.1,1.7151,1.2814,1.7151,1.9037,0.0
6.2,1.713,1.2864,1.713,1.9051,0.0
6.3,1.711,1.2914,1.711,1.9066,0.0
6.4,1.709,1.2964,1.709,1.9081,0.0
6.5,1.707,1.3014,1.707,1.9095,0.0
6.6,1.705,1.3064,1.705,1.911,0.0
6.7,1.703,1.3114,1.703,1.9124,0.0
6.8,1.7009,1.3164,1.7009,1.9139,0.0
6.9,1.6989,1.3214,1.6989,1.9153,0.0
7.0,1.6969,1.3264,1.6969,1.9168,0.0
7.1,1.6948,1.3314,1.6948,1.9183,0.0
7.2,1.6928,1.3364,1.6928,1.9197,0.0
7.3,1.6908,1.3414,1.6908,1.9212,0.0
7.4,1.6888,1.3464,1.6888,1.9226,0.0
7.5,1.6867,1.3514,1.6867,1.9241,0.0
7.6,1.6847,1.3564,1.6847,1.9255,0.0
7.7,1.6827,1.3614,1.6827,1.927,0.0
7.8,1.6806,1.3664,1.6806,1.9285,0.0
7.9,1.6787,1.3714,1.6787,1.9299,0.0
8.0,1.6766,1.3764,1.6766,1.9314,0.0
8.1,1.6746,1.3814,1.6746,1.9329,0.0
8.2,1.6726,1.3864,1.6726,1.9343,0.0
8.3,1.6705,1.3914,1.6705,1.9357,0.0
8.4,1.6685,1.3964,1.6685,1.9372,0.0
8.5,1.6678,1.398,1.6678,1.9377,0.0
8.6,1.6678,1.398,1.6678,1.9377,0.0
8.7,1.6678,1.398,1.6678,1.9377,0.0
8.8,1.6678,1.398,1.6678,1.9377,0.0
8.9,1.6678,1.398,1.6678,1.9377,0.0
9.0,1.6678,1.398,1.6678,1.9377,0.0
9.1,1.6678,1.398,1.6678,1.9377,0.0
9.2,1.6678,1.398,1.6678,1.9377,0.0
9.3,1.6678,1.398,1.6678,1.9377,0.0
9.4,1.6678,1.398,1.6678,1.9377,0.0
9.5,1.6678,1.398,1.6678,1.9377,0.0
9.6,1.6678,1.398,1.6678,1.9377,0.0
9.7,1.6678,1.398,1.6678,1.9377,0.0
9.8,1.6678,1.398,1.6678,1.9377,0.0
