source_id,ra,dec,parallax,parallax_error,parallax_over_error,ruwe,ipd_frac_multi_peak,phot_g_mean_mag,bp_rp,teff_best,logg_best,mh_best,imodel,av_best,rv_best,chi2_best,chi2_prior_best,C_best,logR_iso,sig_logR_iso,teff,teff_err,logg,logg_err,mh,mh_err,av,av_err,rv,rv_err,A_DECam_Y,A_DECam_Y_err,A_DECam_g,A_DECam_g_err,A_DECam_i,A_DECam_i_err,A_DECam_r,A_DECam_r_err,A_DECam_z,A_DECam_z_err,A_VISTA_H,A_VISTA_H_err,A_VISTA_J,A_VISTA_J_err,A_VISTA_Ks,A_VISTA_Ks_err,refined,n_xp,plx_used,n_phot,spec_prior,dm_DECam_Y,dm_DECam_g,dm_DECam_i,dm_DECam_r,dm_DECam_z,dm_VISTA_H,dm_VISTA_J,dm_VISTA_Ks,plx_inflate,D_kpc,D_err,teff_desi,D_med,D_lo,D_hi,D_frac,D_phot,A_i,A_i_err
4043396390012917632,267.8863,-33.20715,0.24156,0.09889,2.44284,1.24453,1,15.20548,5.32507,3300.0,2.0,0.0,17,5.9,2.3,676.58519,0.0,434.63177,1.21903,0.15,3261.68162,48.61625,2.3352,0.5362,0.0,0.0,6.04277,0.25795,2.44015,0.15723,1.92694,0.25333,6.98319,0.27922,3.19677,0.26748,4.47213,0.27259,2.28438,0.25843,0.70049,0.14001,1.18332,0.19652,0.40717,0.09987,True,338,False,5,False,,,-0.00178,-0.29529,,0.09362,-0.02886,-0.02884,1.7,3.86756,2.51452,,1.8883,1.54998,2.35141,0.21221,0.79427,3.19677,0.26748
4043396462938675968,267.9277,-33.19831,0.62014,0.09111,6.80643,1.02747,0,17.30597,1.5969,4700.0,5.0,0.0,206,0.9,3.05,129.34316,2.88255,0.46709,-0.28097,0.15,4652.29283,124.05637,4.79153,0.37087,0.0,0.0,0.91275,0.17932,3.03449,0.49511,0.35636,0.09574,1.00264,0.20007,0.53616,0.1256,0.71454,0.15376,0.41183,0.10467,0.15149,0.04668,0.23711,0.06873,0.09625,0.03185,False,338,True,8,False,-0.02851,-0.04858,-0.01382,0.01977,-0.01923,0.00264,-0.02406,-0.02039,1.7,1.56951,0.38155,,1.37275,1.16505,1.65223,0.17745,0.76618,0.53616,0.1256
4043396497241285248,267.90544,-33.20135,-0.05648,0.10116,-0.55837,1.01538,1,17.4642,2.30247,4700.0,4.5,0.0,205,3.0,2.8,142.99391,0.0,1.65322,-0.15552,0.08,4573.12656,251.95523,3.30923,1.26442,0.0,0.0,2.71253,0.22851,2.61171,0.1364,0.93915,0.2009,3.17439,0.4128,1.53679,0.26403,2.15491,0.32085,1.12246,0.21992,0.36265,0.09683,0.59351,0.14332,0.21773,0.06541,True,338,False,8,False,0.06003,-0.01643,0.05872,0.052,0.05936,0.00215,0.00464,-0.01183,1.7,-25.32651,110.30751,,1.38629,1.22019,1.5862,0.13201,0.54364,1.53679,0.26403
4043396527312389632,267.90946,-33.19128,0.37242,0.05453,6.83021,0.96711,0,16.33231,1.69977,5700.0,3.5,0.0,332,2.1,3.05,125.57757,0.98729,1.11658,0.57576,0.09903,5559.56535,136.42197,3.73035,0.26304,0.0,0.0,1.95801,0.11256,2.94267,0.12173,0.75943,0.07018,2.29172,0.1292,1.17613,0.08799,1.59742,0.1035,0.888,0.07552,0.31421,0.03525,0.49785,0.05129,0.19584,0.02423,True,338,True,8,False,-0.02297,-0.00362,-0.0053,0.00219,-0.00854,0.03602,-0.03077,0.02196,1.7,2.5679,0.61124,,3.22979,2.65974,3.99088,0.20607,3.56299,1.17613,0.08799
4043396188061043584,267.858,-33.2102,0.12036,0.03472,3.46624,0.95803,0,15.29819,2.71853,4200.0,1.0,0.0,133,3.2,2.8,112.0837,0.0,25.79407,1.98741,0.08,4190.17874,45.35553,1.05933,0.48225,0.0,0.0,3.21398,0.08269,2.8926,0.08761,1.2247,0.064,3.65327,0.10475,1.90204,0.07478,2.58156,0.08428,1.43242,0.06701,0.50134,0.03396,0.79868,0.04826,0.31271,0.02405,True,338,False,8,False,0.02439,-0.00732,0.00584,0.00457,0.0167,0.04281,0.06251,-0.03355,1.7,7.27989,3.12852,,18.33793,14.93903,21.95686,0.19135,19.12714,1.90204,0.07478
4043396218074643328,267.83484,-33.21207,0.17567,0.04676,3.75696,0.97147,0,15.98987,2.50553,4600.0,4.5,0.0,192,3.4,3.3,99.06794,0.0,9.44981,-0.16739,0.08,4594.6019,140.03229,4.11747,0.83948,0.0,0.0,3.34199,0.1281,3.19071,0.12499,1.37883,0.12469,3.80734,0.22599,2.05875,0.15561,2.73041,0.18204,1.58702,0.13381,0.58804,0.06245,0.91898,0.09094,0.37475,0.04297,True,338,False,8,False,0.01002,-0.00973,0.00865,-0.0057,0.01882,0.08173,0.07779,0.02661,1.7,5.19013,2.14129,,1.62807,1.49126,1.7861,0.09055,0.22126,2.05875,0.15561
4043396256723871616,267.85706,-33.20894,-0.01046,0.22711,-0.04605,2.34193,58,17.57147,2.35478,6900.0,6.0,0.0,473,3.9,2.3,83.91675,0.0,0.66213,-0.78097,0.15,6354.54701,634.86191,4.60819,1.34845,0.0,0.0,3.88299,0.44814,2.62735,0.41441,1.3624,0.29134,4.67987,0.5038,2.23959,0.34309,3.15174,0.39408,1.63164,0.3055,0.52487,0.15493,0.8601,0.21996,0.31307,0.10964,False,338,False,0,False,,,,,,,,,1.7,152.87463,9023.21695,,0.84541,0.7029,1.03478,0.19628,0.2035,2.23959,0.34309
4043396256780582528,267.84874,-33.2043,0.178,0.05762,3.0892,0.99781,0,16.44728,2.64596,4400.0,4.0,0.0,165,3.3,3.05,103.51319,0.0,6.80746,0.21903,0.15,4422.27312,93.66822,4.13009,0.80386,0.0,0.0,3.31253,0.14307,3.08805,0.1408,1.3342,0.11167,3.77781,0.1724,2.01404,0.13191,2.6908,0.14718,1.54227,0.11757,0.5619,0.05798,0.8832,0.08326,0.35598,0.04052,True,338,False,8,False,0.00102,-0.02804,0.00193,-0.02795,0.00898,0.05727,0.01253,0.00281,1.7,5.12816,2.57602,,2.47869,2.10485,2.97029,0.17458,0.63465,2.01404,0.13191
4043396359859571456,267.88521,-33.21522,0.16723,0.09321,1.79411,1.07638,1,17.27132,2.49473,4600.0,5.0,0.0,193,3.2,3.3,81.68113,0.0,2.4453,-0.28097,0.15,4562.87896,178.57343,4.46965,1.50968,0.0,0.0,3.21521,0.28002,3.15608,0.27647,1.30965,0.1796,3.55954,0.30551,1.94313,0.21885,2.56609,0.25106,1.50376,0.19113,0.56216,0.09132,0.87611,0.13223,0.35949,0.06325,False,338,False,8,False,-0.04647,-0.00222,-0.02719,-0.03685,-0.02904,0.02215,-0.0533,0.05019,1.7,5.42787,4.66857,,1.63131,1.38364,1.95527,0.1752,0.33486,1.94313,0.21885
4043396389874443520,267.88791,-33.21328,-0.00263,0.11876,-0.02213,1.26852,0,17.33831,2.26245,5700.0,6.0,0.0,337,3.7,3.3,102.53566,0.0,1.35237,-0.78097,0.15,5663.63425,295.60671,4.1167,1.63381,0.0,0.0,3.74116,0.11585,3.32186,0.09922,1.59005,0.12879,4.27772,0.26832,2.34536,0.16929,3.08547,0.2063,1.82158,0.14109,0.68888,0.06221,1.06904,0.09206,0.44129,0.04196,True,338,False,8,False,-0.00574,-0.03088,-0.0316,-0.04403,-0.01442,-0.0192,0.00645,0.02045,1.7,69.57927,977.37569,,1.26562,1.08446,1.49757,0.16321,0.14239,2.34536,0.16929
