D_kpc,A_med,A_16,A_84,n_stars,bridged,band,ratio_av
0.2,0.7729,0.5862,0.9274,28.0,False,I,0.6279
0.3,0.7338,0.6122,0.8937,47.0,False,I,0.6279
0.4,0.7027,0.5648,0.8664,88.0,False,I,0.6279
0.5,0.7014,0.564,0.8662,140.0,False,I,0.6279
0.6,0.6639,0.5555,0.8502,204.0,False,I,0.6279
0.7,0.6496,0.5386,0.8241,247.0,False,I,0.6279
0.8,0.6342,0.5124,0.8135,309.0,False,I,0.6279
0.9,0.6278,0.5005,0.8115,370.0,False,I,0.6279
1.0,0.6333,0.4973,0.8093,420.0,False,I,0.6279
1.1,0.6285,0.4936,0.7918,499.0,False,I,0.6279
1.2,0.6335,0.4862,0.7973,565.0,False,I,0.6279
1.3,0.6396,0.4829,0.8002,606.0,False,I,0.6279
1.4,0.6404,0.4816,0.8009,620.0,False,I,0.6279
1.5,0.6387,0.4752,0.8014,644.0,False,I,0.6279
1.6,0.6377,0.4695,0.8054,658.0,False,I,0.6279
1.7,0.6446,0.4695,0.813,667.0,False,I,0.6279
1.8,0.6453,0.4555,0.8122,664.0,False,I,0.6279
1.9,0.6432,0.4596,0.8144,649.0,False,I,0.6279
2.0,0.637,0.4507,0.8013,599.0,False,I,0.6279
2.1,0.6367,0.4484,0.8012,559.0,False,I,0.6279
2.2,0.6363,0.4479,0.7997,527.0,False,I,0.6279
2.3,0.6335,0.4434,0.795,494.0,False,I,0.6279
2.4,0.6358,0.436,0.7904,452.0,False,I,0.6279
2.5,0.6363,0.4258,0.7961,417.0,False,I,0.6279
2.6,0.6367,0.4439,0.7885,376.0,False,I,0.6279
2.7,0.6368,0.443,0.7794,335.0,False,I,0.6279
2.8,0.6418,0.4378,0.7912,292.0,False,I,0.6279
2.9,0.6372,0.4507,0.8011,246.0,False,I,0.6279
3.0,0.6429,0.475,0.8043,228.0,False,I,0.6279
3.1,0.6529,0.4711,0.7965,199.0,False,I,0.6279
3.2,0.6644,0.4687,0.8104,174.0,False,I,0.6279
3.3,0.6722,0.4856,0.8129,160.0,False,I,0.6279
3.4,0.6871,0.5242,0.8216,142.0,False,I,0.6279
3.5,0.6854,0.5277,0.8105,133.0,False,I,0.6279
3.6,0.6797,0.4953,0.821,124.0,False,I,0.6279
3.7,0.6893,0.5231,0.8247,116.0,False,I,0.6279
3.8,0.6976,0.5524,0.8281,111.0,False,I,0.6279
3.9,0.7119,0.5903,0.8298,103.0,False,I,0.6279
4.0,0.7187,0.5918,0.8408,99.0,False,I,0.6279
4.1,0.722,0.5906,0.8487,91.0,False,I,0.6279
4.2,0.7349,0.6066,0.843,86.0,False,I,0.6279
4.3,0.7389,0.6257,0.8655,83.0,False,I,0.6279
4.4,0.7399,0.6304,0.8751,81.0,False,I,0.6279
4.5,0.7411,0.6367,0.8757,74.0,False,I,0.6279
4.6,0.7446,0.6367,0.8871,74.0,False,I,0.6279
4.7,0.7469,0.6384,0.8954,69.0,False,I,0.6279
4.8,0.7485,0.6343,0.8815,66.0,False,I,0.6279
4.9,0.7509,0.6405,0.8788,64.0,False,I,0.6279
5.0,0.7674,0.6374,0.8753,62.0,False,I,0.6279
5.1,0.7674,0.6347,0.8769,60.0,False,I,0.6279
5.2,0.7731,0.6411,0.8826,58.0,False,I,0.6279
5.3,0.7772,0.6531,0.8831,57.0,False,I,0.6279
5.4,0.7866,0.6547,0.8818,53.0,False,I,0.6279
5.5,0.7911,0.6567,0.8831,51.0,False,I,0.6279
5.6,0.7929,0.6553,0.8834,48.0,False,I,0.6279
5.7,0.7946,0.6567,0.8836,47.0,False,I,0.6279
5.8,0.804,0.6563,0.889,44.0,False,I,0.6279
5.9,0.8065,0.6567,0.8831,38.0,False,I,0.6279
6.0,0.8065,0.6886,0.8834,36.0,False,I,0.6279
6.1,0.8102,0.6924,0.8836,34.0,False,I,0.6279
6.2,0.8102,0.6954,0.8855,32.0,False,I,0.6279
6.3,0.8146,0.717,0.906,29.0,False,I,0.6279
6.4,0.8154,0.7041,0.9265,26.0,False,I,0.6279
6.5,0.8162,0.7268,0.9625,23.0,False,I,0.6279
6.6,0.8154,0.7139,0.9746,22.0,False,I,0.6279
6.7,0.8154,0.6884,0.9986,20.0,False,I,0.6279
6.8,0.8154,0.6884,0.9986,20.0,False,I,0.6279
6.9,0.8219,0.77,1.0115,18.0,False,I,0.6279
7.0,0.8219,0.77,1.0115,18.0,False,I,0.6279
7.1,0.8275,0.8041,1.0171,17.0,False,I,0.6279
7.2,0.8211,0.8033,0.9956,14.0,False,I,0.6279
7.3,0.8146,0.7937,0.9325,13.0,False,I,0.6279
7.4,0.8146,0.7937,0.9325,13.0,False,I,0.6279
7.5,0.8135,0.7747,0.9445,12.0,False,I,0.6279
