D_kpc,A_med,A_16,A_84,n_stars,bridged,band,ratio_av
0.2,0.4029,0.2554,0.6179,36.0,False,I,0.6315
0.3,0.3437,0.2682,0.4446,62.0,False,I,0.6315
0.4,0.3507,0.263,0.4401,103.0,False,I,0.6315
0.5,0.3399,0.2575,0.4382,134.0,False,I,0.6315
0.6,0.3343,0.262,0.4355,175.0,False,I,0.6315
0.7,0.3256,0.2515,0.4356,237.0,False,I,0.6315
0.8,0.3187,0.2475,0.4336,306.0,False,I,0.6315
0.9,0.317,0.244,0.4398,375.0,False,I,0.6315
1.0,0.317,0.2439,0.4451,429.0,False,I,0.6315
1.1,0.3225,0.2457,0.4459,484.0,False,I,0.6315
1.2,0.322,0.2451,0.4453,525.0,False,I,0.6315
1.3,0.3298,0.2514,0.455,559.0,False,I,0.6315
1.4,0.339,0.255,0.4651,575.0,False,I,0.6315
1.5,0.3401,0.2555,0.4744,599.0,False,I,0.6315
1.6,0.3505,0.2599,0.4777,623.0,False,I,0.6315
1.7,0.3537,0.2621,0.4834,645.0,False,I,0.6315
1.8,0.3581,0.2623,0.4905,643.0,False,I,0.6315
1.9,0.3611,0.2662,0.4927,627.0,False,I,0.6315
2.0,0.364,0.2687,0.4926,598.0,False,I,0.6315
2.1,0.3663,0.2709,0.4952,564.0,False,I,0.6315
2.2,0.369,0.2723,0.4959,544.0,False,I,0.6315
2.3,0.3689,0.2724,0.496,515.0,False,I,0.6315
2.4,0.3695,0.2732,0.4953,472.0,False,I,0.6315
2.5,0.372,0.2727,0.4957,441.0,False,I,0.6315
2.6,0.3723,0.273,0.4959,396.0,False,I,0.6315
2.7,0.3728,0.2731,0.5004,357.0,False,I,0.6315
2.8,0.3732,0.2731,0.5046,318.0,False,I,0.6315
2.9,0.3787,0.2753,0.5041,282.0,False,I,0.6315
3.0,0.3791,0.2739,0.5008,247.0,False,I,0.6315
3.1,0.3787,0.2725,0.4977,226.0,False,I,0.6315
3.2,0.3815,0.2692,0.5005,200.0,False,I,0.6315
3.3,0.3924,0.2742,0.502,168.0,False,I,0.6315
3.4,0.4027,0.2712,0.5098,157.0,False,I,0.6315
3.5,0.399,0.2733,0.5053,147.0,False,I,0.6315
3.6,0.3944,0.268,0.5057,127.0,False,I,0.6315
3.7,0.3991,0.27,0.5113,116.0,False,I,0.6315
3.8,0.4124,0.2705,0.5127,105.0,False,I,0.6315
3.9,0.4224,0.2699,0.5143,97.0,False,I,0.6315
4.0,0.424,0.2717,0.5237,89.0,False,I,0.6315
4.1,0.4328,0.2766,0.5324,82.0,False,I,0.6315
4.2,0.4366,0.2809,0.5334,73.0,False,I,0.6315
4.3,0.4368,0.2815,0.5357,69.0,False,I,0.6315
4.4,0.4316,0.281,0.519,61.0,False,I,0.6315
4.5,0.4316,0.2811,0.5172,55.0,False,I,0.6315
4.6,0.4279,0.2829,0.5129,53.0,False,I,0.6315
4.7,0.4322,0.2918,0.5282,48.0,False,I,0.6315
4.8,0.4366,0.2983,0.5239,45.0,False,I,0.6315
4.9,0.4368,0.3103,0.5398,43.0,False,I,0.6315
5.0,0.4376,0.3153,0.5579,45.0,False,I,0.6315
5.1,0.4376,0.3103,0.5594,43.0,False,I,0.6315
5.2,0.4404,0.3159,0.5603,39.0,False,I,0.6315
5.3,0.4411,0.3157,0.5627,36.0,False,I,0.6315
5.4,0.4619,0.3158,0.5618,37.0,False,I,0.6315
5.5,0.4677,0.3161,0.5627,36.0,False,I,0.6315
5.6,0.4619,0.316,0.5598,35.0,False,I,0.6315
5.7,0.4619,0.3161,0.5615,31.0,False,I,0.6315
5.8,0.4677,0.3161,0.5624,30.0,False,I,0.6315
5.9,0.4735,0.317,0.5633,29.0,False,I,0.6315
6.0,0.4813,0.321,0.5651,27.0,False,I,0.6315
6.1,0.4774,0.3178,0.566,26.0,False,I,0.6315
6.2,0.4735,0.3176,0.5677,25.0,False,I,0.6315
6.3,0.4774,0.3311,0.5694,24.0,False,I,0.6315
6.4,0.4829,0.345,0.5745,21.0,False,I,0.6315
6.5,0.4829,0.345,0.5745,21.0,False,I,0.6315
6.6,0.4829,0.345,0.5745,21.0,False,I,0.6315
6.7,0.4829,0.3351,0.5673,19.0,False,I,0.6315
6.8,0.4735,0.3288,0.5629,17.0,False,I,0.6315
6.9,0.4829,0.3465,0.5647,15.0,False,I,0.6315
7.0,0.4829,0.3722,0.5669,13.0,False,I,0.6315
7.1,0.5008,0.3846,0.5816,12.0,False,I,0.6315
7.4,0.5273,0.3846,0.6447,12.0,False,I,0.6315
7.5,0.5273,0.3846,0.6447,12.0,False,I,0.6315
7.6,0.5482,0.4558,0.6447,12.0,False,I,0.6315
