# SVO FPS 2MASS/2MASS.H; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 1024 Jy (Pogson); lambda_eff 16620 A
# wavelength_A  transmission
12890.00 0.000000e+00
13150.00 0.000000e+00
13410.00 0.000000e+00
13680.00 0.000000e+00
13970.00 0.000000e+00
14180.00 0.000000e+00
14400.00 5.000000e-04
14620.00 2.800000e-03
14780.00 8.100000e-03
14860.00 2.870000e-02
14930.00 8.710000e-02
15040.00 2.014000e-01
15150.00 4.382000e-01
15280.00 6.864000e-01
15390.00 8.181000e-01
15460.00 8.821000e-01
15510.00 9.118000e-01
15560.00 9.269000e-01
15650.00 9.293000e-01
15720.00 8.727000e-01
15770.00 8.566000e-01
15830.00 8.826000e-01
15920.00 9.181000e-01
15970.00 9.267000e-01
16020.00 9.076000e-01
16130.00 9.260000e-01
16190.00 9.205000e-01
16280.00 9.242000e-01
16330.00 9.235000e-01
16420.00 9.418000e-01
16480.00 9.491000e-01
16570.00 9.807000e-01
16590.00 9.937000e-01
16710.00 1.000000e+00
16840.00 9.561000e-01
17010.00 9.241000e-01
17150.00 9.821000e-01
17270.00 9.916000e-01
17390.00 9.887000e-01
17460.00 9.792000e-01
17510.00 9.682000e-01
17530.00 9.370000e-01
17560.00 9.190000e-01
17640.00 8.423000e-01
17750.00 6.671000e-01
17850.00 2.694000e-01
17900.00 4.516000e-01
17960.00 1.731000e-01
18030.00 1.077000e-01
18100.00 7.070000e-02
18130.00 5.100000e-03
18180.00 2.000000e-02
18280.00 4.000000e-04
18350.00 0.000000e+00
18500.00 1.000000e-04
18710.00 0.000000e+00
18930.00 0.000000e+00
19140.00 0.000000e+00
