# SVO FPS 2MASS/2MASS.J; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 1594 Jy (Pogson); lambda_eff 12350 A
# wavelength_A  transmission
10620.00 0.000000e+00
10660.00 4.000000e-04
10700.00 1.500000e-03
10750.00 2.700000e-03
10780.00 5.500000e-03
10820.00 1.230000e-02
10840.00 2.030000e-02
10870.00 3.060000e-02
10890.00 4.050000e-02
10930.00 5.150000e-02
10960.00 5.640000e-02
11020.00 7.180000e-02
11050.00 2.736000e-01
11070.00 3.410000e-01
11090.00 3.584000e-01
11120.00 3.801000e-01
11160.00 3.307000e-01
11170.00 2.395000e-01
11200.00 2.501000e-01
11230.00 2.833000e-01
11280.00 2.582000e-01
11290.00 2.515000e-01
11320.00 5.381000e-01
11340.00 2.232000e-01
11380.00 5.369000e-01
11400.00 1.102000e-01
11430.00 5.292000e-01
11470.00 2.619000e-01
11540.00 3.202000e-01
11590.00 1.743000e-01
11640.00 6.070000e-01
11670.00 6.179000e-01
11700.00 6.763000e-01
11730.00 7.279000e-01
11750.00 7.465000e-01
11790.00 8.304000e-01
11820.00 7.903000e-01
11860.00 8.096000e-01
11880.00 8.369000e-01
11920.00 8.360000e-01
11950.00 7.499000e-01
11990.00 7.080000e-01
12020.00 6.988000e-01
12090.00 7.049000e-01
12160.00 7.004000e-01
12210.00 7.328000e-01
12270.00 7.057000e-01
12310.00 8.424000e-01
12360.00 9.219000e-01
12400.00 9.525000e-01
12440.00 9.676000e-01
12470.00 9.595000e-01
12530.00 9.227000e-01
12550.00 8.930000e-01
12580.00 8.529000e-01
12600.00 8.023000e-01
12650.00 7.501000e-01
12700.00 6.781000e-01
12750.00 6.524000e-01
12790.00 6.388000e-01
12860.00 6.424000e-01
12920.00 6.486000e-01
12970.00 6.824000e-01
13020.00 7.529000e-01
13050.00 7.759000e-01
13070.00 8.118000e-01
13100.00 7.770000e-01
13130.00 7.210000e-01
13160.00 9.525000e-01
13190.00 8.551000e-01
13230.00 8.414000e-01
13260.00 1.000000e+00
13300.00 8.947000e-01
13330.00 8.549000e-01
13340.00 5.379000e-01
13360.00 2.799000e-01
13390.00 9.065000e-01
13430.00 6.893000e-01
13460.00 5.533000e-01
13490.00 2.432000e-01
13530.00 1.440000e-02
13550.00 2.000000e-04
13600.00 4.010000e-02
13630.00 4.500000e-03
13700.00 3.000000e-04
13730.00 3.720000e-02
13770.00 5.000000e-04
13830.00 0.000000e+00
13880.00 1.000000e-04
13920.00 3.300000e-03
13950.00 3.000000e-04
13960.00 8.500001e-03
13970.00 2.540000e-02
13980.00 1.184000e-01
14000.00 1.000000e-04
14010.00 1.000000e-04
14020.00 5.210000e-02
14040.00 1.040000e-02
14060.00 4.780000e-02
14070.00 4.000000e-04
14100.00 2.400000e-03
14120.00 5.300000e-03
14160.00 8.600000e-03
14210.00 7.000000e-04
14260.00 3.000000e-04
14420.00 4.000000e-04
14500.00 0.000000e+00
