# SVO FPS 2MASS/2MASS.Ks; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 666.8 Jy (Pogson); lambda_eff 21590 A
# wavelength_A  transmission
19000.00 0.000000e+00
19150.00 0.000000e+00
19270.00 0.000000e+00
19340.00 2.000000e-04
19390.00 5.000000e-04
19480.00 5.400000e-03
19570.00 1.190000e-02
19620.00 1.970000e-02
19690.00 4.220000e-02
19760.00 8.730000e-02
19810.00 1.528000e-01
19890.00 2.482000e-01
19900.00 1.902000e-01
19980.00 2.339000e-01
20080.00 2.946000e-01
20140.00 3.982000e-01
20190.00 3.366000e-01
20280.00 6.207000e-01
20370.00 7.650000e-01
20450.00 7.464000e-01
20610.00 6.251000e-01
20720.00 7.255000e-01
20750.00 6.895000e-01
20820.00 7.879000e-01
20890.00 8.181000e-01
20990.00 8.228000e-01
21060.00 8.633000e-01
21130.00 8.778000e-01
21200.00 8.549000e-01
21240.00 8.953000e-01
21380.00 9.189000e-01
21450.00 9.268000e-01
21550.00 9.267000e-01
21690.00 9.009000e-01
21760.00 9.228000e-01
21850.00 8.428000e-01
21970.00 9.459000e-01
22080.00 9.804000e-01
22130.00 9.879000e-01
22180.00 9.848000e-01
22320.00 9.647000e-01
22370.00 9.816000e-01
22480.00 9.834000e-01
22560.00 9.613000e-01
22600.00 9.792000e-01
22630.00 1.000000e+00
22650.00 9.632000e-01
22700.00 9.812000e-01
22720.00 9.681000e-01
22760.00 9.109000e-01
22770.00 9.821000e-01
22810.00 8.896000e-01
22840.00 8.918000e-01
22860.00 9.424000e-01
22910.00 8.404000e-01
22930.00 8.042000e-01
22950.00 7.077000e-01
22970.00 6.576000e-01
22990.00 5.607000e-01
23060.00 4.437000e-01
23110.00 3.482000e-01
23160.00 2.302000e-01
23200.00 1.626000e-01
23250.00 1.360000e-01
23280.00 9.210000e-02
23350.00 6.240000e-02
23390.00 4.310000e-02
23440.00 3.400000e-02
23460.00 3.100000e-02
23520.00 1.180000e-02
23610.00 6.800000e-03
23630.00 7.000000e-04
23700.00 3.000000e-03
23750.00 2.100000e-03
23840.00 4.000000e-04
23990.00 0.000000e+00
