# SVO FPS CTIO/DECam.Y; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 2123.7588815129 Jy (Pogson); lambda_eff 9886.452082478 A
# wavelength_A  transmission
9300.00 0.000000e+00
9305.00 2.620000e-03
9310.00 5.020000e-03
9315.00 5.100000e-03
9320.00 4.930000e-03
9325.00 5.030000e-03
9330.00 5.350000e-03
9335.00 5.540000e-03
9340.00 5.240000e-03
9345.00 5.280000e-03
9350.00 6.350000e-03
9355.00 7.020000e-03
9360.00 7.180000e-03
9365.00 7.730000e-03
9370.00 7.970000e-03
9375.00 9.110000e-03
9380.00 9.970000e-03
9385.00 1.083000e-02
9390.00 1.294000e-02
9395.00 1.602000e-02
9400.00 1.742000e-02
9405.00 1.802000e-02
9410.00 1.937000e-02
9415.00 2.298000e-02
9420.00 2.579000e-02
9425.00 2.629000e-02
9430.00 2.696000e-02
9435.00 3.461000e-02
9440.00 3.879000e-02
9445.00 4.279000e-02
9450.00 5.417000e-02
9455.00 5.597000e-02
9460.00 5.337000e-02
9465.00 8.182000e-02
9470.00 1.158300e-01
9475.00 1.165500e-01
9480.00 1.088500e-01
9485.00 1.636600e-01
9490.00 2.403900e-01
9495.00 2.293100e-01
9500.00 2.125500e-01
9505.00 3.027600e-01
9510.00 4.218300e-01
9515.00 4.564100e-01
9520.00 4.408800e-01
9525.00 4.617800e-01
9530.00 5.330000e-01
9535.00 5.744700e-01
9540.00 6.004600e-01
9545.00 6.112400e-01
9550.00 6.359600e-01
9555.00 6.314800e-01
9560.00 6.265100e-01
9565.00 6.343200e-01
9570.00 6.466600e-01
9575.00 6.942600e-01
9580.00 6.991800e-01
9585.00 6.775600e-01
9590.00 6.591200e-01
9595.00 6.457200e-01
9600.00 6.695200e-01
9605.00 6.897000e-01
9610.00 7.037100e-01
9615.00 7.176300e-01
9620.00 7.015100e-01
9625.00 6.730300e-01
9630.00 6.955000e-01
9635.00 7.173000e-01
9640.00 7.082800e-01
9645.00 7.082400e-01
9650.00 7.200500e-01
9655.00 7.385800e-01
9660.00 7.253900e-01
9665.00 6.991900e-01
9670.00 7.099000e-01
9675.00 7.551800e-01
9680.00 7.692400e-01
9685.00 7.544500e-01
9690.00 7.621600e-01
9695.00 7.704400e-01
9700.00 7.625800e-01
9705.00 7.584700e-01
9710.00 7.652100e-01
9715.00 7.546900e-01
9720.00 7.483900e-01
9725.00 7.435300e-01
9730.00 7.317700e-01
9735.00 7.232500e-01
9740.00 7.186100e-01
9745.00 7.093900e-01
9750.00 7.012100e-01
9755.00 7.016400e-01
9760.00 6.968800e-01
9765.00 7.013600e-01
9770.00 7.165600e-01
9775.00 7.215800e-01
9780.00 7.125600e-01
9785.00 7.058900e-01
9790.00 7.025200e-01
9795.00 6.977500e-01
9800.00 6.991000e-01
9805.00 7.007800e-01
9810.00 7.133800e-01
9815.00 7.150500e-01
9820.00 7.096600e-01
9825.00 7.028500e-01
9830.00 6.990800e-01
9835.00 7.039600e-01
9840.00 7.056200e-01
9845.00 6.991500e-01
9850.00 6.922900e-01
9855.00 6.926400e-01
9860.00 6.944300e-01
9865.00 6.922000e-01
9870.00 6.874100e-01
