# SVO FPS CTIO/DECam.g; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 3976.8802816514 Jy (Pogson); lambda_eff 4769.904356111 A
# wavelength_A  transmission
3815.00 5.400000e-04
3820.00 6.000000e-04
3825.00 6.000000e-04
3830.00 6.000000e-04
3835.00 7.000000e-04
3840.00 7.900000e-04
3845.00 8.700000e-04
3850.00 9.500000e-04
3855.00 1.030000e-03
3860.00 1.110000e-03
3865.00 1.230000e-03
3870.00 1.350000e-03
3875.00 1.470000e-03
3880.00 1.590000e-03
3885.00 1.780000e-03
3890.00 1.980000e-03
3895.00 2.180000e-03
3900.00 2.380000e-03
3905.00 2.370000e-03
3910.00 2.350000e-03
3915.00 3.340000e-03
3920.00 4.340000e-03
3925.00 6.590000e-03
3930.00 8.850000e-03
3935.00 1.112000e-02
3940.00 1.341000e-02
3945.00 1.368000e-02
3950.00 1.396000e-02
3955.00 4.649000e-02
3960.00 7.916000e-02
3965.00 1.134900e-01
3970.00 1.479200e-01
3975.00 1.824500e-01
3980.00 2.171000e-01
3985.00 2.170200e-01
3990.00 2.170200e-01
3995.00 2.294600e-01
4000.00 2.419600e-01
4005.00 2.478200e-01
4010.00 2.537700e-01
4015.00 2.597000e-01
4020.00 2.657000e-01
4025.00 2.678100e-01
4030.00 2.698900e-01
4035.00 2.721800e-01
4040.00 2.744700e-01
4045.00 2.751800e-01
4050.00 2.758900e-01
4055.00 2.791800e-01
4060.00 2.825500e-01
4065.00 2.845300e-01
4070.00 2.864500e-01
4075.00 2.907400e-01
4080.00 2.949400e-01
4085.00 2.956800e-01
4090.00 2.964500e-01
4095.00 2.990400e-01
4100.00 3.015800e-01
4105.00 3.034300e-01
4110.00 3.053000e-01
4115.00 3.072100e-01
4120.00 3.090600e-01
4125.00 3.104700e-01
4130.00 3.118500e-01
4135.00 3.142700e-01
4140.00 3.168100e-01
4145.00 3.183500e-01
4150.00 3.198600e-01
4155.00 3.248100e-01
4160.00 3.297000e-01
4165.00 3.327100e-01
4170.00 3.356500e-01
4175.00 3.386000e-01
4180.00 3.416000e-01
4185.00 3.425500e-01
4190.00 3.435700e-01
4195.00 3.442300e-01
4200.00 3.448500e-01
4205.00 3.455800e-01
4210.00 3.463000e-01
