# SVO FPS CTIO/DECam.i; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 2470.7905476034 Jy (Pogson); lambda_eff 7774.3016648898 A
# wavelength_A  transmission
6750.00 0.000000e+00
6755.00 4.000000e-04
6760.00 7.900000e-04
6765.00 8.500000e-04
6770.00 9.100000e-04
6775.00 9.800000e-04
6780.00 1.040000e-03
6785.00 1.100000e-03
6790.00 1.160000e-03
6795.00 1.220000e-03
6800.00 1.280000e-03
6805.00 1.350000e-03
6810.00 1.430000e-03
6815.00 1.510000e-03
6820.00 1.590000e-03
6825.00 1.690000e-03
6830.00 1.790000e-03
6835.00 1.890000e-03
6840.00 1.990000e-03
6845.00 2.120000e-03
6850.00 2.260000e-03
6855.00 2.400000e-03
6860.00 2.520000e-03
6865.00 2.560000e-03
6870.00 2.370000e-03
6875.00 2.330000e-03
6880.00 2.690000e-03
6885.00 3.080000e-03
6890.00 3.230000e-03
6895.00 3.420000e-03
6900.00 3.710000e-03
6905.00 4.080000e-03
6910.00 4.470000e-03
6915.00 4.850000e-03
6920.00 5.230000e-03
6925.00 5.860000e-03
6930.00 6.490000e-03
6935.00 7.090000e-03
6940.00 7.670000e-03
6945.00 8.860000e-03
6950.00 1.007000e-02
6955.00 1.126000e-02
6960.00 1.244000e-02
6965.00 1.533000e-02
6970.00 1.827000e-02
6975.00 2.116000e-02
6980.00 2.400000e-02
6985.00 3.067000e-02
6990.00 3.727000e-02
6995.00 4.398000e-02
7000.00 5.079000e-02
7005.00 6.447000e-02
7010.00 7.812000e-02
7015.00 9.183000e-02
7020.00 1.055500e-01
7025.00 1.285500e-01
7030.00 1.517400e-01
7035.00 1.753600e-01
7040.00 1.984200e-01
7045.00 2.309700e-01
7050.00 2.635200e-01
7055.00 2.959300e-01
7060.00 3.286900e-01
7065.00 3.665800e-01
7070.00 4.045500e-01
7075.00 4.422800e-01
7080.00 4.800200e-01
7085.00 5.167000e-01
7090.00 5.532700e-01
7095.00 5.897100e-01
7100.00 6.258400e-01
7105.00 6.560800e-01
7110.00 6.865300e-01
7115.00 7.170100e-01
7120.00 7.473800e-01
7125.00 7.682400e-01
7130.00 7.888600e-01
7135.00 8.098700e-01
7140.00 8.308100e-01
7145.00 8.418100e-01
7150.00 8.525400e-01
7155.00 8.637700e-01
7160.00 8.739300e-01
7165.00 8.727300e-01
7170.00 8.632700e-01
7175.00 8.539900e-01
7180.00 8.520200e-01
7185.00 8.409100e-01
7190.00 8.343800e-01
7195.00 8.372200e-01
7200.00 8.398800e-01
7205.00 8.474100e-01
7210.00 8.668800e-01
7215.00 8.857300e-01
7220.00 8.916400e-01
7225.00 8.901300e-01
7230.00 8.786500e-01
7235.00 8.606100e-01
7240.00 8.593400e-01
7245.00 8.624100e-01
7250.00 8.683200e-01
7255.00 8.734300e-01
7260.00 8.815700e-01
7265.00 8.832100e-01
7270.00 8.841100e-01
7275.00 8.802000e-01
7280.00 8.813600e-01
7285.00 8.942600e-01
7290.00 8.936400e-01
7295.00 8.962800e-01
7300.00 9.029100e-01
7305.00 8.996200e-01
7310.00 8.994000e-01
7315.00 9.010300e-01
7320.00 9.051500e-01
7325.00 9.118900e-01
7330.00 9.138900e-01
7335.00 9.127500e-01
7340.00 9.136400e-01
7345.00 9.138600e-01
7350.00 9.128800e-01
7355.00 9.127400e-01
7360.00 9.115800e-01
7365.00 9.121700e-01
7370.00 9.136700e-01
7375.00 9.165700e-01
7380.00 9.189100e-01
7385.00 9.208000e-01
7390.00 9.230600e-01
7395.00 9.251400e-01
7400.00 9.274000e-01
7405.00 9.296000e-01
7410.00 9.311500e-01
7415.00 9.325200e-01
7420.00 9.340700e-01
7425.00 9.342800e-01
7430.00 9.348700e-01
7435.00 9.356500e-01
7440.00 9.359600e-01
7445.00 9.355100e-01
7450.00 9.353500e-01
7455.00 9.349900e-01
7460.00 9.348200e-01
7465.00 9.346900e-01
7470.00 9.344700e-01
7475.00 9.341400e-01
7480.00 9.339200e-01
7485.00 9.343700e-01
7490.00 9.347200e-01
7495.00 9.351700e-01
7500.00 9.355300e-01
7505.00 9.358100e-01
7510.00 9.363700e-01
7515.00 9.368400e-01
7520.00 9.372100e-01
7525.00 9.375800e-01
7530.00 9.379500e-01
7535.00 9.382200e-01
7540.00 9.384900e-01
7545.00 9.379900e-01
7550.00 9.375700e-01
7555.00 9.371600e-01
7560.00 9.365600e-01
7565.00 9.357700e-01
7570.00 9.348800e-01
7575.00 9.339900e-01
7580.00 9.329200e-01
7585.00 9.245800e-01
7590.00 8.757700e-01
7595.00 6.938700e-01
7600.00 4.359200e-01
7605.00 3.024700e-01
7610.00 3.184600e-01
7615.00 4.555300e-01
7620.00 5.992200e-01
7625.00 5.790300e-01
7630.00 5.007300e-01
7635.00 5.019800e-01
7640.00 5.458300e-01
7645.00 5.994500e-01
7650.00 6.628200e-01
7655.00 7.203000e-01
7660.00 7.667800e-01
7665.00 8.061500e-01
7670.00 8.479000e-01
7675.00 8.757400e-01
7680.00 8.916800e-01
7685.00 9.015200e-01
7690.00 9.082800e-01
7695.00 9.146700e-01
7700.00 9.225500e-01
7705.00 9.282600e-01
7710.00 9.308900e-01
7715.00 9.321300e-01
7720.00 9.329900e-01
7725.00 9.337700e-01
7730.00 9.343600e-01
7735.00 9.351300e-01
7740.00 9.358200e-01
7745.00 9.376900e-01
7750.00 9.392800e-01
7755.00 9.410600e-01
7760.00 9.425500e-01
7765.00 9.434100e-01
7770.00 9.440800e-01
7775.00 9.448400e-01
7780.00 9.454200e-01
7785.00 9.456500e-01
7790.00 9.458900e-01
7795.00 9.460300e-01
7800.00 9.463600e-01
7805.00 9.458500e-01
7810.00 9.454400e-01
7815.00 9.450200e-01
7820.00 9.446100e-01
7825.00 9.441600e-01
7830.00 9.437200e-01
7835.00 9.432800e-01
7840.00 9.429300e-01
7845.00 9.431000e-01
7850.00 9.431700e-01
7855.00 9.433400e-01
7860.00 9.434100e-01
7865.00 9.428700e-01
7870.00 9.424200e-01
7875.00 9.424500e-01
7880.00 9.421000e-01
7885.00 9.405300e-01
7890.00 9.380200e-01
7895.00 9.356100e-01
7900.00 9.342300e-01
7905.00 9.326800e-01
7910.00 9.312200e-01
7915.00 9.303200e-01
7920.00 9.286600e-01
7925.00 9.253100e-01
7930.00 9.234400e-01
7935.00 9.239800e-01
7940.00 9.233100e-01
7945.00 9.208500e-01
7950.00 9.178400e-01
7955.00 9.142900e-01
7960.00 9.083500e-01
7965.00 9.064900e-01
7970.00 9.085700e-01
7975.00 9.096300e-01
7980.00 9.098700e-01
7985.00 9.115800e-01
7990.00 9.135600e-01
7995.00 9.156400e-01
8000.00 9.160600e-01
8005.00 9.173100e-01
8010.00 9.191200e-01
8015.00 9.219400e-01
8020.00 9.249500e-01
8025.00 9.260000e-01
8030.00 9.270400e-01
8035.00 9.291100e-01
8040.00 9.308100e-01
8045.00 9.309700e-01
8050.00 9.323400e-01
8055.00 9.336300e-01
8060.00 9.336900e-01
8065.00 9.336100e-01
8070.00 9.338200e-01
8075.00 9.339300e-01
8080.00 9.339500e-01
8085.00 9.314000e-01
8090.00 9.289400e-01
8095.00 9.257400e-01
8100.00 9.239400e-01
8105.00 9.201700e-01
8110.00 9.140900e-01
8115.00 9.144500e-01
8120.00 9.154500e-01
8125.00 9.140900e-01
8130.00 9.079200e-01
8135.00 8.966700e-01
8140.00 8.920800e-01
8145.00 8.905600e-01
8150.00 8.836600e-01
8155.00 8.753600e-01
8160.00 8.671500e-01
8165.00 8.642000e-01
8170.00 8.782800e-01
8175.00 8.783000e-01
8180.00 8.644200e-01
8185.00 8.728500e-01
8190.00 8.789900e-01
8195.00 8.782900e-01
8200.00 8.767500e-01
8205.00 8.939300e-01
8210.00 9.065400e-01
8215.00 9.037000e-01
8220.00 8.925200e-01
8225.00 8.594900e-01
8230.00 8.160000e-01
8235.00 8.335200e-01
8240.00 8.746500e-01
8245.00 8.894900e-01
8250.00 8.926400e-01
8255.00 8.897600e-01
8260.00 8.874300e-01
8265.00 8.979900e-01
8270.00 9.013400e-01
8275.00 8.851900e-01
8280.00 8.760400e-01
8285.00 8.845700e-01
8290.00 8.863700e-01
8295.00 8.912200e-01
8300.00 9.018600e-01
8305.00 9.087300e-01
8310.00 9.219300e-01
8315.00 9.225800e-01
8320.00 9.139900e-01
8325.00 9.208800e-01
8330.00 9.308000e-01
8335.00 9.303300e-01
8340.00 9.326000e-01
8345.00 9.371600e-01
8350.00 9.375400e-01
8355.00 9.350000e-01
8360.00 9.337900e-01
8365.00 9.336100e-01
8370.00 9.338000e-01
8375.00 9.328700e-01
8380.00 9.318300e-01
8385.00 9.323100e-01
8390.00 9.322200e-01
8395.00 9.303200e-01
8400.00 9.279500e-01
8405.00 9.277100e-01
8410.00 9.274600e-01
8415.00 9.286100e-01
8420.00 9.294800e-01
8425.00 9.304800e-01
8430.00 9.307300e-01
8435.00 9.330000e-01
8440.00 9.358200e-01
8445.00 9.365300e-01
8450.00 9.370400e-01
8455.00 9.375600e-01
8460.00 9.375100e-01
8465.00 9.412400e-01
8470.00 9.455400e-01
8475.00 9.493700e-01
8480.00 9.526200e-01
8485.00 9.549800e-01
8490.00 9.575400e-01
8495.00 9.602800e-01
8500.00 9.629300e-01
8505.00 9.553400e-01
8510.00 9.475600e-01
8515.00 9.398700e-01
8520.00 9.326600e-01
8525.00 8.995600e-01
