# SVO FPS CTIO/DECam.r; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 3060.1980649116 Jy (Pogson); lambda_eff 6370.442335602 A
# wavelength_A  transmission
5400.00 0.000000e+00
5405.00 1.150000e-03
5410.00 2.290000e-03
5415.00 2.430000e-03
5420.00 2.570000e-03
5425.00 2.760000e-03
5430.00 2.960000e-03
5435.00 3.150000e-03
5440.00 3.350000e-03
5445.00 3.590000e-03
5450.00 3.830000e-03
5455.00 4.070000e-03
5460.00 4.310000e-03
5465.00 4.550000e-03
5470.00 4.810000e-03
5475.00 5.050000e-03
5480.00 5.300000e-03
5485.00 5.670000e-03
5490.00 6.030000e-03
5495.00 6.400000e-03
5500.00 6.760000e-03
5505.00 7.180000e-03
5510.00 7.610000e-03
5515.00 8.030000e-03
5520.00 8.460000e-03
5525.00 8.970000e-03
5530.00 9.480000e-03
5535.00 1.000000e-02
5540.00 1.051000e-02
5545.00 1.121000e-02
5550.00 1.191000e-02
5555.00 1.261000e-02
5560.00 1.331000e-02
5565.00 1.425000e-02
5570.00 1.518000e-02
5575.00 1.612000e-02
5580.00 1.705000e-02
5585.00 1.854000e-02
5590.00 2.004000e-02
5595.00 2.154000e-02
5600.00 2.303000e-02
5605.00 2.669000e-02
5610.00 3.035000e-02
5615.00 3.402000e-02
5620.00 3.768000e-02
5625.00 5.119000e-02
5630.00 6.472000e-02
5635.00 7.822000e-02
5640.00 9.173000e-02
5645.00 1.355600e-01
5650.00 1.794100e-01
5655.00 2.232800e-01
5660.00 2.671600e-01
5665.00 3.351600e-01
5670.00 4.031500e-01
5675.00 4.710000e-01
5680.00 5.387600e-01
5685.00 5.704800e-01
5690.00 6.023000e-01
5695.00 6.342800e-01
5700.00 6.664100e-01
5705.00 6.715500e-01
5710.00 6.767600e-01
5715.00 6.815600e-01
5720.00 6.862400e-01
5725.00 6.880100e-01
5730.00 6.898600e-01
5735.00 6.917700e-01
5740.00 6.936200e-01
5745.00 6.953800e-01
5750.00 6.973500e-01
5755.00 6.994700e-01
5760.00 7.015200e-01
5765.00 7.031000e-01
5770.00 7.046100e-01
5775.00 7.062000e-01
5780.00 7.079300e-01
5785.00 7.092100e-01
5790.00 7.104100e-01
5795.00 7.116800e-01
5800.00 7.128900e-01
5805.00 7.151800e-01
5810.00 7.175500e-01
5815.00 7.199200e-01
5820.00 7.221500e-01
5825.00 7.231800e-01
5830.00 7.241300e-01
5835.00 7.252300e-01
5840.00 7.261100e-01
5845.00 7.258300e-01
5850.00 7.257100e-01
5855.00 7.254300e-01
5860.00 7.250000e-01
5865.00 7.240600e-01
5870.00 7.231900e-01
5875.00 7.218800e-01
5880.00 7.200700e-01
5885.00 7.185700e-01
5890.00 7.172800e-01
5895.00 7.173700e-01
5900.00 7.176100e-01
5905.00 7.202500e-01
5910.00 7.228900e-01
5915.00 7.239300e-01
5920.00 7.244600e-01
5925.00 7.257500e-01
5930.00 7.284300e-01
5935.00 7.300100e-01
5940.00 7.295500e-01
5945.00 7.271800e-01
5950.00 7.279800e-01
5955.00 7.298700e-01
5960.00 7.303600e-01
5965.00 7.307600e-01
5970.00 7.306500e-01
5975.00 7.311200e-01
5980.00 7.318800e-01
5985.00 7.334600e-01
5990.00 7.344400e-01
5995.00 7.357200e-01
6000.00 7.369300e-01
6005.00 7.381900e-01
6010.00 7.394600e-01
6015.00 7.405700e-01
6020.00 7.418400e-01
6025.00 7.420000e-01
6030.00 7.422300e-01
6035.00 7.440300e-01
6040.00 7.459000e-01
6045.00 7.464200e-01
6050.00 7.468700e-01
6055.00 7.474000e-01
6060.00 7.480000e-01
6065.00 7.479400e-01
6070.00 7.479600e-01
6075.00 7.480600e-01
6080.00 7.480800e-01
6085.00 7.487800e-01
6090.00 7.495500e-01
6095.00 7.501700e-01
6100.00 7.509400e-01
6105.00 7.528700e-01
6110.00 7.546500e-01
6115.00 7.565800e-01
6120.00 7.583600e-01
6125.00 7.600400e-01
6130.00 7.617200e-01
6135.00 7.634800e-01
6140.00 7.651700e-01
6145.00 7.660800e-01
6150.00 7.669200e-01
6155.00 7.678400e-01
6160.00 7.687600e-01
6165.00 7.698200e-01
6170.00 7.707900e-01
6175.00 7.717700e-01
6180.00 7.728300e-01
6185.00 7.731800e-01
6190.00 7.736000e-01
6195.00 7.739500e-01
6200.00 7.741300e-01
6205.00 7.746600e-01
6210.00 7.751900e-01
6215.00 7.758000e-01
6220.00 7.762400e-01
6225.00 7.770200e-01
6230.00 7.777100e-01
6235.00 7.784900e-01
6240.00 7.791900e-01
6245.00 7.796800e-01
6250.00 7.802600e-01
6255.00 7.807600e-01
6260.00 7.811800e-01
6265.00 7.817000e-01
6270.00 7.812700e-01
6275.00 7.737100e-01
6280.00 7.617600e-01
6285.00 7.667400e-01
6290.00 7.751800e-01
6295.00 7.760200e-01
6300.00 7.778000e-01
6305.00 7.813000e-01
6310.00 7.841800e-01
6315.00 7.865800e-01
6320.00 7.886000e-01
6325.00 7.900100e-01
6330.00 7.910300e-01
6335.00 7.919000e-01
6340.00 7.924500e-01
6345.00 7.936600e-01
6350.00 7.948700e-01
6355.00 7.962500e-01
6360.00 7.973800e-01
6365.00 7.987800e-01
6370.00 7.998600e-01
6375.00 8.012600e-01
6380.00 8.025900e-01
6385.00 8.030900e-01
6390.00 8.034300e-01
6395.00 8.039400e-01
6400.00 8.042800e-01
6405.00 8.049100e-01
6410.00 8.055400e-01
6415.00 8.061800e-01
6420.00 8.067300e-01
6425.00 8.069700e-01
6430.00 8.073000e-01
6435.00 8.074600e-01
6440.00 8.077100e-01
6445.00 8.077900e-01
6450.00 8.078700e-01
6455.00 8.077000e-01
6460.00 8.072100e-01
6465.00 8.069000e-01
6470.00 8.061800e-01
6475.00 8.053000e-01
6480.00 8.056400e-01
6485.00 8.066700e-01
6490.00 8.076100e-01
6495.00 8.083200e-01
6500.00 8.100800e-01
6505.00 8.116000e-01
6510.00 8.114200e-01
6515.00 8.092000e-01
6520.00 8.087000e-01
6525.00 8.120500e-01
6530.00 8.145200e-01
6535.00 8.155100e-01
6540.00 8.166800e-01
6545.00 8.172000e-01
6550.00 8.178900e-01
6555.00 8.192300e-01
6560.00 8.209100e-01
6565.00 8.220400e-01
6570.00 8.230100e-01
6575.00 8.235600e-01
6580.00 8.246900e-01
6585.00 8.254000e-01
6590.00 8.261000e-01
6595.00 8.268900e-01
6600.00 8.271800e-01
6605.00 8.274000e-01
6610.00 8.277000e-01
6615.00 8.279900e-01
6620.00 8.281300e-01
6625.00 8.278800e-01
6630.00 8.274700e-01
6635.00 8.273900e-01
6640.00 8.270600e-01
6645.00 8.273700e-01
6650.00 8.276700e-01
6655.00 8.280700e-01
6660.00 8.283800e-01
6665.00 8.296300e-01
6670.00 8.308800e-01
6675.00 8.321300e-01
6680.00 8.333000e-01
6685.00 8.345400e-01
6690.00 8.356100e-01
6695.00 8.367700e-01
6700.00 8.379200e-01
6705.00 8.383800e-01
6710.00 8.389200e-01
6715.00 8.395500e-01
6720.00 8.400000e-01
6725.00 8.400700e-01
6730.00 8.400600e-01
6735.00 8.401300e-01
6740.00 8.401200e-01
6745.00 8.400300e-01
6750.00 8.398600e-01
6755.00 8.395100e-01
6760.00 8.393400e-01
6765.00 8.394700e-01
6770.00 8.396100e-01
6775.00 8.399100e-01
6780.00 8.400500e-01
6785.00 8.406800e-01
6790.00 8.413100e-01
6795.00 8.421200e-01
6800.00 8.427500e-01
6805.00 8.429600e-01
6810.00 8.433400e-01
6815.00 8.437200e-01
6820.00 8.441000e-01
6825.00 8.444400e-01
6830.00 8.447800e-01
6835.00 8.451100e-01
6840.00 8.452800e-01
6845.00 8.454900e-01
6850.00 8.457000e-01
6855.00 8.457400e-01
6860.00 8.410400e-01
6865.00 7.977800e-01
6870.00 6.910700e-01
6875.00 6.409500e-01
6880.00 6.981800e-01
6885.00 7.456900e-01
6890.00 7.329600e-01
6895.00 7.324200e-01
6900.00 7.499900e-01
6905.00 7.638200e-01
6910.00 7.799300e-01
6915.00 7.923100e-01
6920.00 8.030100e-01
6925.00 8.140600e-01
6930.00 8.224200e-01
6935.00 8.258800e-01
6940.00 8.266400e-01
6945.00 8.283500e-01
6950.00 8.312500e-01
6955.00 8.329100e-01
6960.00 8.326200e-01
6965.00 8.364200e-01
6970.00 8.409800e-01
6975.00 8.419000e-01
6980.00 8.411400e-01
6985.00 8.389400e-01
6990.00 8.358100e-01
6995.00 8.358800e-01
7000.00 8.375700e-01
7005.00 8.379700e-01
7010.00 8.379600e-01
7015.00 8.385300e-01
7020.00 8.391100e-01
7025.00 8.379400e-01
7030.00 8.377800e-01
7035.00 8.393800e-01
7040.00 8.379500e-01
7045.00 8.363700e-01
7050.00 8.347000e-01
7055.00 8.326200e-01
7060.00 8.314500e-01
7065.00 8.279400e-01
7070.00 8.244200e-01
7075.00 8.203100e-01
7080.00 8.162100e-01
7085.00 8.103800e-01
7090.00 8.043000e-01
7095.00 7.979700e-01
7100.00 7.912400e-01
7105.00 7.855100e-01
7110.00 7.800100e-01
7115.00 7.745100e-01
7120.00 7.688500e-01
7125.00 7.383100e-01
7130.00 7.075600e-01
7135.00 6.771700e-01
7140.00 6.467100e-01
7145.00 5.758000e-01
7150.00 5.048300e-01
7155.00 4.342600e-01
7160.00 3.633000e-01
7165.00 3.043500e-01
7170.00 2.439100e-01
7175.00 1.854200e-01
7180.00 1.298800e-01
7185.00 1.062200e-01
7190.00 8.363000e-02
7195.00 6.210000e-02
7200.00 4.046000e-02
7205.00 3.360000e-02
7210.00 2.699000e-02
7215.00 2.003000e-02
7220.00 1.256000e-02
7225.00 1.114000e-02
7230.00 9.610000e-03
7235.00 8.060000e-03
7240.00 6.710000e-03
7245.00 5.680000e-03
7250.00 4.660000e-03
7255.00 3.630000e-03
7260.00 2.600000e-03
7265.00 2.250000e-03
7270.00 1.910000e-03
7275.00 1.550000e-03
7280.00 1.210000e-03
7285.00 1.100000e-03
7290.00 9.600000e-04
7295.00 8.300000e-04
7300.00 7.100000e-04
7305.00 6.600000e-04
7310.00 6.100000e-04
7315.00 5.600000e-04
7320.00 5.200000e-04
7325.00 4.900000e-04
7330.00 4.600000e-04
7335.00 4.300000e-04
7340.00 4.000000e-04
7345.00 2.000000e-04
7350.00 0.000000e+00
