# SVO FPS CTIO/DECam.z; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 2233.7948198058 Jy (Pogson); lambda_eff 9154.8836633768 A
# wavelength_A  transmission
8250.00 0.000000e+00
8255.00 2.180000e-03
8260.00 4.340000e-03
8265.00 4.670000e-03
8270.00 4.970000e-03
8275.00 5.280000e-03
8280.00 5.630000e-03
8285.00 5.660000e-03
8290.00 5.650000e-03
8295.00 5.660000e-03
8300.00 5.710000e-03
8305.00 6.010000e-03
8310.00 6.360000e-03
8315.00 6.840000e-03
8320.00 7.240000e-03
8325.00 7.760000e-03
8330.00 8.310000e-03
8335.00 8.780000e-03
8340.00 9.270000e-03
8345.00 1.135000e-02
8350.00 1.339000e-02
8355.00 1.376000e-02
8360.00 1.414000e-02
8365.00 1.454000e-02
8370.00 1.495000e-02
8375.00 1.534000e-02
8380.00 1.573000e-02
8385.00 1.958000e-02
8390.00 2.342000e-02
8395.00 2.590000e-02
8400.00 2.835000e-02
8405.00 3.079000e-02
8410.00 3.322000e-02
8415.00 3.571000e-02
8420.00 3.819000e-02
8425.00 5.742000e-02
8430.00 7.663000e-02
8435.00 7.432000e-02
8440.00 7.206000e-02
8445.00 9.308000e-02
8450.00 1.141100e-01
8455.00 1.351600e-01
8460.00 1.561400e-01
8465.00 2.401800e-01
8470.00 3.244100e-01
8475.00 3.221400e-01
8480.00 3.196800e-01
8485.00 3.808900e-01
8490.00 4.421600e-01
8495.00 5.035300e-01
8500.00 5.648800e-01
8505.00 6.163300e-01
8510.00 6.676400e-01
8515.00 7.189700e-01
8520.00 7.706700e-01
8525.00 8.022200e-01
8530.00 8.335600e-01
8535.00 8.646700e-01
8540.00 8.955900e-01
8545.00 9.048800e-01
8550.00 9.144400e-01
8555.00 9.239100e-01
8560.00 9.333900e-01
8565.00 9.319300e-01
8570.00 9.302900e-01
8575.00 9.350700e-01
8580.00 9.401400e-01
8585.00 9.320700e-01
8590.00 9.237100e-01
8595.00 9.234900e-01
8600.00 9.234400e-01
8605.00 9.251600e-01
8610.00 9.267800e-01
8615.00 9.293600e-01
8620.00 9.317400e-01
8625.00 9.362800e-01
8630.00 9.410100e-01
8635.00 9.451600e-01
8640.00 9.493200e-01
8645.00 9.504900e-01
8650.00 9.513700e-01
8655.00 9.500700e-01
8660.00 9.490600e-01
8665.00 9.520100e-01
8670.00 9.549700e-01
8675.00 9.545800e-01
8680.00 9.540800e-01
8685.00 9.536900e-01
8690.00 9.533900e-01
8695.00 9.534300e-01
8700.00 9.534600e-01
8705.00 9.535000e-01
8710.00 9.536400e-01
8715.00 9.539400e-01
8720.00 9.542300e-01
8725.00 9.546300e-01
8730.00 9.549300e-01
8735.00 9.545800e-01
8740.00 9.544300e-01
8745.00 9.562000e-01
8750.00 9.579700e-01
8755.00 9.589200e-01
8760.00 9.598700e-01
8765.00 9.608200e-01
8770.00 9.617600e-01
8775.00 9.628700e-01
8780.00 9.637900e-01
8785.00 9.648000e-01
8790.00 9.659000e-01
8795.00 9.665500e-01
8800.00 9.672000e-01
8805.00 9.677500e-01
8810.00 9.683100e-01
8815.00 9.690200e-01
8820.00 9.696400e-01
8825.00 9.702500e-01
8830.00 9.711600e-01
8835.00 9.714000e-01
8840.00 9.719400e-01
8845.00 9.723800e-01
8850.00 9.726200e-01
8855.00 9.727000e-01
8860.00 9.722900e-01
8865.00 9.729500e-01
8870.00 9.739000e-01
8875.00 9.744700e-01
8880.00 9.742600e-01
8885.00 9.752300e-01
8890.00 9.768800e-01
8895.00 9.747100e-01
8900.00 9.719600e-01
8905.00 9.719700e-01
8910.00 9.724700e-01
8915.00 9.715600e-01
8920.00 9.698700e-01
8925.00 9.684800e-01
8930.00 9.634900e-01
8935.00 9.602600e-01
8940.00 9.609100e-01
8945.00 9.558400e-01
8950.00 9.457200e-01
8955.00 9.322200e-01
8960.00 9.225200e-01
8965.00 9.091300e-01
8970.00 9.038900e-01
8975.00 9.134800e-01
8980.00 9.190900e-01
8985.00 8.854300e-01
8990.00 8.427000e-01
8995.00 8.637200e-01
9000.00 8.924600e-01
9005.00 8.861300e-01
9010.00 8.916600e-01
9015.00 8.998400e-01
9020.00 8.974800e-01
9025.00 8.930000e-01
9030.00 9.059200e-01
9035.00 9.377500e-01
9040.00 9.578000e-01
9045.00 9.550000e-01
9050.00 9.507400e-01
9055.00 9.517100e-01
9060.00 9.497400e-01
9065.00 9.285800e-01
9070.00 9.044100e-01
9075.00 8.956700e-01
9080.00 8.937100e-01
9085.00 8.960700e-01
9090.00 8.961600e-01
9095.00 9.007400e-01
9100.00 9.034500e-01
9105.00 8.958100e-01
9110.00 9.060900e-01
9115.00 9.115800e-01
9120.00 9.026600e-01
9125.00 9.131900e-01
9130.00 8.915300e-01
9135.00 8.681400e-01
9140.00 8.861400e-01
9145.00 9.167100e-01
9150.00 9.093000e-01
9155.00 8.690100e-01
9160.00 8.799500e-01
9165.00 9.213000e-01
9170.00 9.239800e-01
9175.00 8.967200e-01
9180.00 8.854900e-01
9185.00 9.091700e-01
9190.00 9.320000e-01
9195.00 9.373400e-01
9200.00 9.360600e-01
9205.00 9.472200e-01
9210.00 9.466200e-01
9215.00 9.362300e-01
9220.00 9.343900e-01
9225.00 9.412600e-01
9230.00 9.401900e-01
9235.00 9.339600e-01
9240.00 9.268900e-01
9245.00 9.205200e-01
9250.00 9.170300e-01
9255.00 9.190400e-01
9260.00 9.200900e-01
9265.00 9.196000e-01
9270.00 9.215700e-01
9275.00 8.982500e-01
9280.00 8.669400e-01
9285.00 8.584900e-01
9290.00 8.463800e-01
9295.00 8.277700e-01
9300.00 7.919500e-01
9305.00 7.589500e-01
9310.00 7.270500e-01
9315.00 6.930400e-01
9320.00 6.308000e-01
9325.00 6.079900e-01
9330.00 6.129100e-01
9335.00 5.932200e-01
9340.00 5.261900e-01
9345.00 4.996500e-01
9350.00 5.677800e-01
9355.00 5.861300e-01
9360.00 5.613900e-01
9365.00 5.677500e-01
9370.00 5.522100e-01
9375.00 5.790600e-01
9380.00 5.853500e-01
9385.00 5.904000e-01
9390.00 6.579400e-01
9395.00 7.288800e-01
9400.00 7.164500e-01
9405.00 6.752300e-01
9410.00 6.657100e-01
9415.00 6.817400e-01
9420.00 6.724400e-01
9425.00 6.106100e-01
9430.00 5.640400e-01
9435.00 5.943000e-01
9440.00 5.641500e-01
9445.00 5.422700e-01
9450.00 6.084600e-01
9455.00 6.197700e-01
9460.00 5.828100e-01
9465.00 5.980000e-01
9470.00 6.363000e-01
9475.00 6.318400e-01
9480.00 5.824500e-01
9485.00 6.027900e-01
9490.00 6.753300e-01
9495.00 6.366600e-01
9500.00 5.832900e-01
9505.00 6.231400e-01
9510.00 6.953400e-01
9515.00 6.866900e-01
9520.00 6.101700e-01
9525.00 5.917400e-01
9530.00 6.359700e-01
9535.00 6.620500e-01
9540.00 6.691900e-01
9545.00 6.594800e-01
9550.00 6.649900e-01
9555.00 6.550500e-01
9560.00 6.447700e-01
9565.00 6.477000e-01
9570.00 6.551900e-01
9575.00 7.031500e-01
9580.00 7.078700e-01
9585.00 6.857200e-01
9590.00 6.668100e-01
9595.00 6.529800e-01
9600.00 6.767600e-01
9605.00 6.968600e-01
9610.00 7.107200e-01
9615.00 7.248900e-01
9620.00 7.087100e-01
9625.00 6.800400e-01
9630.00 7.028600e-01
9635.00 7.246400e-01
9640.00 7.152900e-01
9645.00 7.150000e-01
9650.00 7.266800e-01
9655.00 7.458300e-01
9660.00 7.329300e-01
9665.00 7.068700e-01
9670.00 7.181300e-01
9675.00 7.643500e-01
9680.00 7.790300e-01
9685.00 7.644800e-01
9690.00 7.727300e-01
9695.00 7.810300e-01
9700.00 7.729700e-01
9705.00 7.687100e-01
9710.00 7.754500e-01
9715.00 7.669200e-01
9720.00 7.626600e-01
9725.00 7.598400e-01
9730.00 7.499600e-01
9735.00 7.418700e-01
9740.00 7.377700e-01
9745.00 7.289400e-01
9750.00 7.211700e-01
9755.00 7.215700e-01
9760.00 7.166400e-01
9765.00 7.212100e-01
9770.00 7.368000e-01
9775.00 7.420600e-01
9780.00 7.328900e-01
9785.00 7.261400e-01
9790.00 7.227800e-01
9795.00 7.170000e-01
9800.00 7.175000e-01
9805.00 7.183400e-01
9810.00 7.303400e-01
9815.00 7.310100e-01
9820.00 7.244700e-01
9825.00 7.164800e-01
9830.00 7.116100e-01
9835.00 7.160400e-01
9840.00 7.171900e-01
9845.00 7.100800e-01
9850.00 7.025800e-01
9855.00 7.017900e-01
9860.00 7.024300e-01
9865.00 6.990100e-01
9870.00 6.929900e-01
9875.00 6.881500e-01
9880.00 6.858700e-01
9885.00 6.840600e-01
9890.00 6.808600e-01
9895.00 6.767900e-01
9900.00 6.725400e-01
9905.00 6.696300e-01
9910.00 6.669900e-01
9915.00 6.622900e-01
9920.00 6.575100e-01
9925.00 6.521500e-01
9930.00 6.464600e-01
9935.00 6.307700e-01
9940.00 6.152900e-01
9945.00 5.992800e-01
9950.00 5.830900e-01
9955.00 5.518300e-01
9960.00 5.207400e-01
9965.00 4.896400e-01
9970.00 4.584500e-01
9975.00 4.169600e-01
9980.00 3.754400e-01
9985.00 3.339600e-01
9990.00 2.924500e-01
9995.00 2.572800e-01
10000.00 2.222300e-01
10005.00 1.872700e-01
10010.00 1.521500e-01
10015.00 1.301700e-01
10020.00 1.082500e-01
10025.00 8.664000e-02
10030.00 6.503000e-02
10035.00 5.532000e-02
10040.00 4.555000e-02
10045.00 3.582000e-02
10050.00 2.610000e-02
10055.00 2.229000e-02
10060.00 1.848000e-02
10065.00 1.467000e-02
10070.00 1.086000e-02
10075.00 9.580000e-03
10080.00 8.300000e-03
10085.00 7.010000e-03
10090.00 5.730000e-03
10095.00 5.120000e-03
10100.00 4.530000e-03
10105.00 3.930000e-03
10110.00 3.330000e-03
10115.00 2.930000e-03
10120.00 2.520000e-03
10125.00 2.120000e-03
10130.00 1.710000e-03
10135.00 1.740000e-03
10140.00 1.770000e-03
10145.00 8.900000e-04
10150.00 0.000000e+00
