# SVO FPS GAIA/GAIA3.Gbp; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 3552.0128903434 Jy (Pogson); lambda_eff 5035.7502754443 A
# wavelength_A  transmission
3250.00 3.870541e-05
3260.00 1.757720e-04
3270.00 6.494854e-04
3280.00 1.966908e-03
3290.00 5.010831e-03
3300.00 1.094581e-02
3310.00 2.070354e-02
3320.00 3.469679e-02
3330.00 5.253193e-02
3340.00 7.353884e-02
3350.00 9.603523e-02
3360.00 1.187758e-01
3370.00 1.422786e-01
3380.00 1.655576e-01
3390.00 1.885691e-01
3400.00 2.097770e-01
3410.00 2.288162e-01
3420.00 2.438768e-01
3430.00 2.516830e-01
3440.00 2.520281e-01
3450.00 2.462371e-01
3460.00 2.366071e-01
3470.00 2.241772e-01
3480.00 2.092279e-01
3490.00 1.945303e-01
3500.00 1.846486e-01
3510.00 1.793058e-01
3520.00 1.782713e-01
3530.00 1.813906e-01
3540.00 1.878157e-01
3550.00 1.969886e-01
3560.00 2.083689e-01
3570.00 2.188168e-01
3580.00 2.273931e-01
3590.00 2.326957e-01
3600.00 2.352624e-01
3610.00 2.352368e-01
3620.00 2.326222e-01
3630.00 2.301192e-01
3640.00 2.269633e-01
3650.00 2.239651e-01
3660.00 2.208520e-01
3670.00 2.171413e-01
3680.00 2.133442e-01
3690.00 2.092055e-01
3700.00 2.043516e-01
3710.00 1.996627e-01
3720.00 1.940475e-01
3730.00 1.884835e-01
3740.00 1.832085e-01
3750.00 1.783182e-01
3760.00 1.738903e-01
3770.00 1.696353e-01
3780.00 1.657927e-01
3790.00 1.631500e-01
3800.00 1.621439e-01
3810.00 1.629706e-01
3820.00 1.657110e-01
3830.00 1.699612e-01
3840.00 1.760988e-01
3850.00 1.840592e-01
3860.00 1.942383e-01
3870.00 2.063560e-01
3880.00 2.206571e-01
3890.00 2.371167e-01
3900.00 2.543522e-01
3910.00 2.721909e-01
3920.00 2.909029e-01
3930.00 3.097206e-01
3940.00 3.289572e-01
3950.00 3.476174e-01
3960.00 3.661154e-01
3970.00 3.838149e-01
3980.00 4.005775e-01
3990.00 4.170333e-01
4000.00 4.321758e-01
4010.00 4.457247e-01
4020.00 4.585774e-01
4030.00 4.711651e-01
4040.00 4.821972e-01
4050.00 4.924692e-01
4060.00 5.024134e-01
4070.00 5.110970e-01
4080.00 5.191439e-01
4090.00 5.266823e-01
4100.00 5.334659e-01
4110.00 5.402228e-01
4120.00 5.464301e-01
4130.00 5.515285e-01
4140.00 5.559958e-01
4150.00 5.605696e-01
4160.00 5.647781e-01
4170.00 5.686224e-01
4180.00 5.723121e-01
4190.00 5.754142e-01
4200.00 5.783027e-01
4210.00 5.811143e-01
4220.00 5.835095e-01
4230.00 5.863045e-01
4240.00 5.883675e-01
4250.00 5.899042e-01
4260.00 5.918690e-01
4270.00 5.940471e-01
4280.00 5.958562e-01
4290.00 5.973585e-01
4300.00 5.990221e-01
4310.00 6.004803e-01
4320.00 6.019475e-01
4330.00 6.037844e-01
4340.00 6.056197e-01
4350.00 6.075786e-01
4360.00 6.093163e-01
4370.00 6.103833e-01
4380.00 6.118730e-01
4390.00 6.134714e-01
4400.00 6.153015e-01
4410.00 6.170519e-01
4420.00 6.187703e-01
4430.00 6.204918e-01
4440.00 6.218308e-01
4450.00 6.232135e-01
4460.00 6.241247e-01
4470.00 6.246771e-01
4480.00 6.257004e-01
4490.00 6.267541e-01
4500.00 6.269926e-01
4510.00 6.270450e-01
4520.00 6.277760e-01
4530.00 6.280250e-01
4540.00 6.278300e-01
4550.00 6.278639e-01
4560.00 6.277688e-01
4570.00 6.272507e-01
4580.00 6.270028e-01
4590.00 6.271262e-01
4600.00 6.270281e-01
4610.00 6.270381e-01
4620.00 6.269889e-01
4630.00 6.268074e-01
4640.00 6.269667e-01
4650.00 6.275749e-01
4660.00 6.280318e-01
4670.00 6.279694e-01
4680.00 6.280345e-01
4690.00 6.288152e-01
4700.00 6.291954e-01
4710.00 6.294058e-01
4720.00 6.304368e-01
4730.00 6.312272e-01
4740.00 6.316477e-01
4750.00 6.322066e-01
4760.00 6.330489e-01
4770.00 6.339725e-01
4780.00 6.344966e-01
4790.00 6.345872e-01
4800.00 6.346368e-01
4810.00 6.355586e-01
4820.00 6.354863e-01
4830.00 6.350592e-01
4840.00 6.350316e-01
4850.00 6.353417e-01
4860.00 6.355981e-01
4870.00 6.358006e-01
4880.00 6.356497e-01
4890.00 6.354497e-01
4900.00 6.352859e-01
4910.00 6.349440e-01
4920.00 6.342673e-01
4930.00 6.338816e-01
4940.00 6.338173e-01
4950.00 6.340647e-01
4960.00 6.337546e-01
4970.00 6.333524e-01
4980.00 6.329402e-01
4990.00 6.320481e-01
5000.00 6.314628e-01
5010.00 6.313009e-01
5020.00 6.317361e-01
5030.00 6.312788e-01
