# SVO FPS GAIA/GAIA3.G; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 3228.7464752872 Jy (Pogson); lambda_eff 5822.3887136979 A
# wavelength_A  transmission
3200.00 2.373670e-08
3210.00 1.577744e-07
3220.00 9.085548e-07
3230.00 4.780723e-06
3240.00 2.394281e-05
3250.00 1.036483e-04
3260.00 3.722805e-04
3270.00 1.093818e-03
3280.00 2.651746e-03
3290.00 5.450982e-03
3300.00 9.768755e-03
3310.00 1.562759e-02
3320.00 2.277412e-02
3330.00 3.076133e-02
3340.00 3.936171e-02
3350.00 4.810516e-02
3360.00 5.659746e-02
3370.00 6.486523e-02
3380.00 7.259985e-02
3390.00 7.997990e-02
3400.00 8.688374e-02
3410.00 9.348921e-02
3420.00 9.950982e-02
3430.00 1.048213e-01
3440.00 1.095677e-01
3450.00 1.138448e-01
3460.00 1.173222e-01
3470.00 1.202480e-01
3480.00 1.226165e-01
3490.00 1.244814e-01
3500.00 1.259101e-01
3510.00 1.268739e-01
3520.00 1.273496e-01
3530.00 1.274442e-01
3540.00 1.274272e-01
3550.00 1.269916e-01
3560.00 1.262941e-01
3570.00 1.252460e-01
3580.00 1.242298e-01
3590.00 1.228478e-01
3600.00 1.214425e-01
3610.00 1.200781e-01
3620.00 1.184159e-01
3630.00 1.170821e-01
3640.00 1.156027e-01
3650.00 1.143200e-01
3660.00 1.130987e-01
3670.00 1.118373e-01
3680.00 1.108972e-01
3690.00 1.101376e-01
3700.00 1.093490e-01
3710.00 1.089930e-01
3720.00 1.085284e-01
3730.00 1.082295e-01
3740.00 1.081802e-01
3750.00 1.084510e-01
3760.00 1.091081e-01
3770.00 1.099895e-01
3780.00 1.112627e-01
3790.00 1.134095e-01
3800.00 1.162932e-01
3810.00 1.200581e-01
3820.00 1.250048e-01
3830.00 1.309011e-01
3840.00 1.380265e-01
3850.00 1.462901e-01
3860.00 1.559295e-01
3870.00 1.666060e-01
3880.00 1.783629e-01
3890.00 1.911680e-01
3900.00 2.046183e-01
3910.00 2.186429e-01
3920.00 2.332419e-01
3930.00 2.477574e-01
3940.00 2.624498e-01
3950.00 2.765616e-01
3960.00 2.904845e-01
3970.00 3.037868e-01
3980.00 3.164443e-01
3990.00 3.290363e-01
4000.00 3.408478e-01
4010.00 3.517276e-01
4020.00 3.625234e-01
4030.00 3.733953e-01
4040.00 3.831687e-01
4050.00 3.924873e-01
4060.00 4.017062e-01
4070.00 4.100805e-01
4080.00 4.181114e-01
4090.00 4.258978e-01
4100.00 4.332359e-01
4110.00 4.407137e-01
4120.00 4.478976e-01
4130.00 4.543247e-01
4140.00 4.603132e-01
4150.00 4.664195e-01
4160.00 4.722455e-01
4170.00 4.777866e-01
4180.00 4.832129e-01
4190.00 4.881547e-01
4200.00 4.929152e-01
4210.00 4.976080e-01
4220.00 5.019415e-01
4230.00 5.066159e-01
4240.00 5.106554e-01
4250.00 5.142304e-01
4260.00 5.181676e-01
4270.00 5.222319e-01
4280.00 5.258840e-01
4290.00 5.291726e-01
4300.00 5.325061e-01
4310.00 5.355577e-01
4320.00 5.385169e-01
4330.00 5.417102e-01
4340.00 5.448068e-01
4350.00 5.479203e-01
4360.00 5.507378e-01
4370.00 5.528493e-01
4380.00 5.552403e-01
4390.00 5.576256e-01
4400.00 5.601210e-01
4410.00 5.625176e-01
4420.00 5.649557e-01
4430.00 5.674675e-01
4440.00 5.696985e-01
4450.00 5.720388e-01
4460.00 5.740154e-01
4470.00 5.757285e-01
4480.00 5.779408e-01
4490.00 5.802493e-01
4500.00 5.818717e-01
4510.00 5.833937e-01
4520.00 5.856280e-01
4530.00 5.874935e-01
4540.00 5.890251e-01
4550.00 5.908518e-01
4560.00 5.926394e-01
4570.00 5.940159e-01
4580.00 5.955688e-01
4590.00 5.973923e-01
4600.00 5.989214e-01
