# SVO FPS GAIA/GAIA3.Grp; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 2554.9484277488 Jy (Pogson); lambda_eff 7619.9599926215 A
# wavelength_A  transmission
6100.00 1.066812e-04
6110.00 1.498279e-04
6120.00 2.164892e-04
6130.00 3.100122e-04
6140.00 4.593181e-04
6150.00 7.050411e-04
6160.00 1.088254e-03
6170.00 1.756528e-03
6180.00 2.967477e-03
6190.00 5.110959e-03
6200.00 8.959073e-03
6210.00 1.402383e-02
6220.00 2.271678e-02
6230.00 3.678328e-02
6240.00 5.831096e-02
6250.00 8.941859e-02
6260.00 1.314997e-01
6270.00 1.850140e-01
6280.00 2.486420e-01
6290.00 3.199509e-01
6300.00 3.945348e-01
6310.00 4.684844e-01
6320.00 5.374195e-01
6330.00 5.969091e-01
6340.00 6.458597e-01
6350.00 6.832151e-01
6360.00 7.108775e-01
6370.00 7.286698e-01
6380.00 7.390302e-01
6390.00 7.382728e-01
6400.00 7.284574e-01
6410.00 7.106087e-01
6420.00 6.939500e-01
6430.00 6.834282e-01
6440.00 6.787299e-01
6450.00 6.783742e-01
6460.00 6.799057e-01
6470.00 6.835733e-01
6480.00 6.872459e-01
6490.00 6.900839e-01
6500.00 6.932457e-01
6510.00 6.954783e-01
6520.00 6.968187e-01
6530.00 6.978080e-01
6540.00 6.985263e-01
6550.00 6.991653e-01
6560.00 7.004509e-01
6570.00 7.014552e-01
6580.00 7.034172e-01
6590.00 7.045534e-01
6600.00 7.068345e-01
6610.00 7.084591e-01
6620.00 7.104904e-01
6630.00 7.120964e-01
6640.00 7.144859e-01
6650.00 7.168661e-01
6660.00 7.193727e-01
6670.00 7.215978e-01
6680.00 7.232692e-01
6690.00 7.246185e-01
6700.00 7.258579e-01
6710.00 7.278084e-01
6720.00 7.283970e-01
6730.00 7.304366e-01
6740.00 7.310977e-01
6750.00 7.314582e-01
6760.00 7.313763e-01
6770.00 7.316059e-01
6780.00 7.319752e-01
6790.00 7.322034e-01
6800.00 7.317729e-01
6810.00 7.312232e-01
6820.00 7.304333e-01
6830.00 7.299384e-01
6840.00 7.295747e-01
6850.00 7.295530e-01
6860.00 7.295986e-01
6870.00 7.297434e-01
6880.00 7.300466e-01
6890.00 7.311000e-01
6900.00 7.311262e-01
6910.00 7.320949e-01
6920.00 7.336335e-01
6930.00 7.327556e-01
6940.00 7.340720e-01
6950.00 7.341997e-01
6960.00 7.351210e-01
6970.00 7.356805e-01
6980.00 7.361462e-01
6990.00 7.372648e-01
7000.00 7.375911e-01
7010.00 7.379639e-01
7020.00 7.367824e-01
7030.00 7.367417e-01
7040.00 7.376645e-01
7050.00 7.377587e-01
7060.00 7.378281e-01
7070.00 7.369723e-01
7080.00 7.360695e-01
7090.00 7.354133e-01
7100.00 7.351913e-01
7110.00 7.347277e-01
7120.00 7.340452e-01
7130.00 7.332587e-01
7140.00 7.328627e-01
7150.00 7.317705e-01
7160.00 7.316074e-01
7170.00 7.316007e-01
7180.00 7.309549e-01
7190.00 7.308768e-01
7200.00 7.322348e-01
7210.00 7.314705e-01
7220.00 7.317397e-01
7230.00 7.319699e-01
7240.00 7.338755e-01
7250.00 7.341152e-01
7260.00 7.364946e-01
7270.00 7.371778e-01
7280.00 7.375961e-01
7290.00 7.388653e-01
7300.00 7.395558e-01
7310.00 7.413873e-01
7320.00 7.419935e-01
7330.00 7.430238e-01
7340.00 7.436271e-01
7350.00 7.439523e-01
7360.00 7.433965e-01
7370.00 7.431394e-01
7380.00 7.436884e-01
7390.00 7.439129e-01
7400.00 7.434368e-01
7410.00 7.424847e-01
7420.00 7.416957e-01
7430.00 7.414005e-01
7440.00 7.403442e-01
7450.00 7.401882e-01
7460.00 7.390313e-01
7470.00 7.385767e-01
7480.00 7.391725e-01
7490.00 7.388875e-01
7500.00 7.383857e-01
7510.00 7.387548e-01
7520.00 7.392911e-01
7530.00 7.386021e-01
7540.00 7.387875e-01
7550.00 7.400737e-01
7560.00 7.400901e-01
7570.00 7.403438e-01
7580.00 7.401363e-01
7590.00 7.403116e-01
7600.00 7.391916e-01
7610.00 7.390998e-01
7620.00 7.394202e-01
7630.00 7.389368e-01
7640.00 7.387168e-01
7650.00 7.378262e-01
7660.00 7.366390e-01
7670.00 7.345440e-01
7680.00 7.342130e-01
7690.00 7.316278e-01
7700.00 7.299905e-01
7710.00 7.290979e-01
7720.00 7.273820e-01
7730.00 7.257715e-01
7740.00 7.251379e-01
7750.00 7.234387e-01
7760.00 7.218502e-01
7770.00 7.192613e-01
7780.00 7.183298e-01
7790.00 7.176422e-01
7800.00 7.148353e-01
7810.00 7.132754e-01
7820.00 7.131813e-01
7830.00 7.119705e-01
7840.00 7.096056e-01
7850.00 7.081058e-01
7860.00 7.072769e-01
7870.00 7.062742e-01
7880.00 7.057802e-01
7890.00 7.053226e-01
7900.00 7.045418e-01
7910.00 7.040162e-01
7920.00 7.042929e-01
7930.00 7.041050e-01
7940.00 7.037266e-01
7950.00 7.029044e-01
7960.00 7.032174e-01
7970.00 7.032179e-01
7980.00 7.040363e-01
7990.00 7.036887e-01
8000.00 7.037630e-01
8010.00 7.034955e-01
8020.00 7.040431e-01
8030.00 7.046095e-01
8040.00 7.043596e-01
8050.00 7.037788e-01
8060.00 7.028275e-01
8070.00 7.030531e-01
8080.00 7.020036e-01
8090.00 7.021592e-01
8100.00 7.012269e-01
8110.00 7.009718e-01
8120.00 6.997185e-01
8130.00 7.003217e-01
8140.00 7.000798e-01
8150.00 6.983290e-01
8160.00 6.964037e-01
8170.00 6.949310e-01
8180.00 6.942174e-01
8190.00 6.928149e-01
8200.00 6.904644e-01
8210.00 6.893738e-01
8220.00 6.882447e-01
8230.00 6.868260e-01
8240.00 6.857785e-01
8250.00 6.830179e-01
8260.00 6.817214e-01
8270.00 6.798520e-01
8280.00 6.781077e-01
8290.00 6.762099e-01
8300.00 6.750185e-01
8310.00 6.737104e-01
8320.00 6.713976e-01
8330.00 6.699669e-01
8340.00 6.688953e-01
8350.00 6.668831e-01
8360.00 6.653600e-01
8370.00 6.610037e-01
8380.00 6.592877e-01
8390.00 6.574438e-01
8400.00 6.552453e-01
8410.00 6.528791e-01
8420.00 6.499108e-01
8430.00 6.481829e-01
8440.00 6.477672e-01
8450.00 6.437497e-01
8460.00 6.408269e-01
8470.00 6.375014e-01
8480.00 6.343900e-01
8490.00 6.326502e-01
8500.00 6.278626e-01
8510.00 6.264145e-01
8520.00 6.236078e-01
8530.00 6.195511e-01
8540.00 6.178688e-01
8550.00 6.142203e-01
8560.00 6.119645e-01
8570.00 6.092893e-01
8580.00 6.046687e-01
8590.00 6.014394e-01
8600.00 5.984866e-01
8610.00 5.946496e-01
8620.00 5.927964e-01
8630.00 5.892776e-01
8640.00 5.859868e-01
8650.00 5.817457e-01
8660.00 5.793665e-01
8670.00 5.755409e-01
8680.00 5.694903e-01
8690.00 5.677929e-01
8700.00 5.664293e-01
8710.00 5.619239e-01
8720.00 5.586182e-01
8730.00 5.583541e-01
8740.00 5.536405e-01
8750.00 5.505743e-01
8760.00 5.475614e-01
8770.00 5.430628e-01
8780.00 5.413219e-01
