# SVO FPS Keck/NIRC2.Kp; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 677.56880064582 Jy (Pogson); lambda_eff 21084.380140491 A
# wavelength_A  transmission
18855.18 7.062380e-04
18859.05 7.043890e-04
18862.92 7.025410e-04
18866.79 7.006920e-04
18870.65 6.988430e-04
18874.52 6.969940e-04
18878.39 6.951450e-04
18882.26 6.932970e-04
18886.13 6.914480e-04
18890.00 6.895990e-04
18893.87 6.877500e-04
18897.74 6.859020e-04
18901.61 6.840530e-04
18905.48 6.822040e-04
18909.35 6.803550e-04
18913.22 6.785060e-04
18917.09 6.766580e-04
18920.96 6.748090e-04
18924.83 6.729600e-04
18928.70 6.711110e-04
18932.57 6.692620e-04
18936.44 6.674140e-04
18940.31 6.655650e-04
18944.18 6.637160e-04
18944.19 1.778540e-03
18948.06 1.776690e-03
18951.93 1.774840e-03
18955.80 1.772990e-03
18959.67 1.771140e-03
18963.54 1.769290e-03
18967.39 6.526230e-04
18971.26 6.507750e-04
18975.13 6.489260e-04
18975.14 1.763750e-03
18979.01 1.761900e-03
18982.88 1.760050e-03
18986.75 1.758200e-03
18990.62 1.756350e-03
18994.49 1.754500e-03
18998.36 1.752650e-03
18998.37 2.867470e-03
19002.24 2.865630e-03
19006.11 2.863780e-03
19009.98 2.861930e-03
19013.85 2.860080e-03
19017.72 2.858230e-03
19021.59 2.856380e-03
19021.60 3.971200e-03
19025.47 3.969350e-03
19029.34 3.967510e-03
19033.21 3.965660e-03
19037.08 3.963810e-03
19040.95 3.961960e-03
19044.82 3.960110e-03
19044.84 5.074930e-03
19048.70 5.073080e-03
19052.57 5.071230e-03
19056.44 5.069380e-03
19060.31 5.067540e-03
19064.18 5.065690e-03
19068.05 5.063840e-03
19071.92 5.061990e-03
19075.79 5.060140e-03
19075.80 6.174960e-03
19079.67 6.173110e-03
19083.54 6.171270e-03
19087.41 6.169420e-03
19091.28 6.167570e-03
19091.30 7.282390e-03
19095.16 7.280540e-03
19099.03 7.278690e-03
19102.90 7.276840e-03
19106.77 7.274990e-03
19106.79 8.389810e-03
19110.66 8.387960e-03
19114.53 8.386120e-03
19118.39 8.384270e-03
19122.26 8.382420e-03
19122.28 9.497240e-03
19126.15 9.495390e-03
19130.02 9.493540e-03
19133.89 9.491690e-03
19133.90 1.060650e-02
19137.77 1.060470e-02
19141.64 1.060280e-02
19145.51 1.060100e-02
19145.52 1.171580e-02
19149.39 1.171390e-02
19153.26 1.171210e-02
19153.27 1.282690e-02
19157.14 1.282510e-02
19157.15 1.393990e-02
19161.02 1.393800e-02
19164.89 1.393620e-02
19168.76 1.393430e-02
19168.78 1.504920e-02
19172.65 1.504730e-02
19176.52 1.504550e-02
19176.53 1.616030e-02
19180.40 1.615840e-02
19180.41 1.727330e-02
19184.28 1.727140e-02
19188.15 1.726960e-02
19188.16 1.838440e-02
19192.03 1.838250e-02
19195.90 1.838070e-02
19195.91 1.949550e-02
19199.78 1.949370e-02
19199.80 2.060850e-02
19203.67 2.060660e-02
19207.54 2.060480e-02
19207.55 2.171960e-02
19211.42 2.171770e-02
19211.43 2.283260e-02
19215.30 2.283070e-02
19219.17 2.282890e-02
19219.18 2.394370e-02
19223.05 2.394180e-02
19223.07 2.505670e-02
19226.94 2.505480e-02
19226.95 2.616960e-02
19230.82 2.616780e-02
19230.83 2.728260e-02
19234.70 2.728080e-02
19234.71 2.839560e-02
19238.58 2.839370e-02
19238.60 2.950850e-02
19242.47 2.950670e-02
19242.48 3.062150e-02
19246.35 3.061970e-02
19246.36 3.173450e-02
19250.23 3.173270e-02
19250.24 3.284750e-02
19254.11 3.284560e-02
19254.13 3.396040e-02
