# SVO FPS PAN-STARRS/PS1.y; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 2180.3981124997 Jy (Pogson); lambda_eff 9613.603597131 A
# wavelength_A  transmission
9000.00 1.000000e-03
9010.00 2.000000e-03
9020.00 2.000000e-03
9030.00 2.000000e-03
9040.00 2.000000e-03
9050.00 2.000000e-03
9060.00 3.000000e-03
9070.00 3.000000e-03
9080.00 3.000000e-03
9090.00 5.000000e-03
9100.00 6.000000e-03
9110.00 9.000000e-03
9120.00 1.500000e-02
9130.00 2.400000e-02
9140.00 4.000000e-02
9150.00 6.600000e-02
9160.00 9.800000e-02
9170.00 1.520000e-01
9180.00 1.990000e-01
9190.00 2.710000e-01
9200.00 3.350000e-01
9210.00 4.030000e-01
9220.00 4.510000e-01
9230.00 5.060000e-01
9240.00 5.390000e-01
9250.00 5.650000e-01
9260.00 5.910000e-01
9270.00 6.150000e-01
9280.00 5.970000e-01
9290.00 6.010000e-01
9300.00 5.700000e-01
9310.00 5.430000e-01
9320.00 5.010000e-01
9330.00 4.860000e-01
9340.00 4.350000e-01
9350.00 4.640000e-01
9360.00 4.010000e-01
9370.00 4.350000e-01
9380.00 4.410000e-01
9390.00 5.130000e-01
9400.00 5.290000e-01
9410.00 4.980000e-01
9420.00 4.990000e-01
9430.00 4.310000e-01
9440.00 4.190000e-01
9450.00 4.710000e-01
9460.00 3.860000e-01
9470.00 4.590000e-01
9480.00 4.040000e-01
9490.00 4.870000e-01
9500.00 3.490000e-01
9510.00 4.800000e-01
9520.00 3.860000e-01
9530.00 4.220000e-01
9540.00 4.350000e-01
9550.00 4.130000e-01
9560.00 4.020000e-01
9570.00 3.880000e-01
9580.00 4.120000e-01
9590.00 3.950000e-01
9600.00 4.010000e-01
9610.00 4.010000e-01
9620.00 3.940000e-01
9630.00 3.990000e-01
9640.00 3.860000e-01
9650.00 3.870000e-01
9660.00 3.820000e-01
9670.00 3.810000e-01
9680.00 3.880000e-01
9690.00 3.900000e-01
9700.00 3.780000e-01
9710.00 3.800000e-01
9720.00 3.680000e-01
9730.00 3.580000e-01
9740.00 3.490000e-01
9750.00 3.410000e-01
9760.00 3.370000e-01
9770.00 3.350000e-01
9780.00 3.270000e-01
9790.00 3.260000e-01
9800.00 3.150000e-01
9810.00 3.180000e-01
9820.00 3.110000e-01
9830.00 3.020000e-01
9840.00 3.010000e-01
9850.00 2.920000e-01
9860.00 2.900000e-01
9870.00 2.820000e-01
9880.00 2.740000e-01
9890.00 2.680000e-01
9900.00 2.600000e-01
9910.00 2.550000e-01
9920.00 2.500000e-01
9930.00 2.430000e-01
9940.00 2.380000e-01
9950.00 2.320000e-01
9960.00 2.270000e-01
9970.00 2.210000e-01
9980.00 2.160000e-01
9990.00 2.110000e-01
10000.00 2.050000e-01
10010.00 2.000000e-01
10020.00 1.950000e-01
10030.00 1.890000e-01
10040.00 1.830000e-01
10050.00 1.780000e-01
10060.00 1.730000e-01
10070.00 1.680000e-01
10080.00 1.620000e-01
10090.00 1.570000e-01
10100.00 1.520000e-01
10110.00 1.470000e-01
10120.00 1.410000e-01
10130.00 1.360000e-01
10140.00 1.310000e-01
10150.00 1.270000e-01
10160.00 1.240000e-01
10170.00 1.200000e-01
10180.00 1.160000e-01
10190.00 1.110000e-01
10200.00 1.060000e-01
10210.00 1.020000e-01
10220.00 9.700000e-02
10230.00 9.400000e-02
10240.00 9.100000e-02
10250.00 8.800000e-02
10260.00 8.400000e-02
10270.00 8.100000e-02
10280.00 7.800000e-02
10290.00 7.500000e-02
10300.00 7.100000e-02
10310.00 6.700000e-02
10320.00 6.400000e-02
10330.00 6.000000e-02
10340.00 5.700000e-02
10350.00 5.500000e-02
10360.00 5.300000e-02
10370.00 5.000000e-02
10380.00 4.800000e-02
10390.00 4.500000e-02
10400.00 4.300000e-02
10410.00 4.100000e-02
10420.00 3.900000e-02
10430.00 3.700000e-02
10440.00 3.600000e-02
10450.00 3.500000e-02
10460.00 3.400000e-02
10470.00 3.300000e-02
10480.00 3.200000e-02
10490.00 3.000000e-02
10500.00 2.900000e-02
10510.00 2.800000e-02
10520.00 2.700000e-02
10530.00 2.600000e-02
10540.00 2.500000e-02
10550.00 2.400000e-02
10560.00 2.300000e-02
10570.00 2.200000e-02
10580.00 2.100000e-02
10590.00 2.000000e-02
10600.00 1.900000e-02
10610.00 1.800000e-02
10620.00 1.700000e-02
10630.00 1.600000e-02
10640.00 1.500000e-02
10650.00 1.500000e-02
10660.00 1.400000e-02
10670.00 1.400000e-02
10680.00 1.300000e-02
10690.00 1.200000e-02
10700.00 1.200000e-02
10710.00 1.100000e-02
10720.00 1.100000e-02
10730.00 1.100000e-02
10740.00 1.000000e-02
10750.00 1.000000e-02
10760.00 9.000000e-03
10770.00 9.000000e-03
10780.00 8.000000e-03
10790.00 8.000000e-03
10800.00 8.000000e-03
10810.00 7.000000e-03
10820.00 7.000000e-03
10830.00 7.000000e-03
10840.00 6.000000e-03
10850.00 6.000000e-03
10860.00 6.000000e-03
10870.00 6.000000e-03
10880.00 5.000000e-03
10890.00 5.000000e-03
10900.00 5.000000e-03
10910.00 5.000000e-03
10920.00 4.000000e-03
10930.00 4.000000e-03
10940.00 4.000000e-03
10950.00 4.000000e-03
10960.00 3.000000e-03
10970.00 3.000000e-03
10980.00 3.000000e-03
10990.00 3.000000e-03
11000.00 2.000000e-03
