# SVO FPS PAN-STARRS/PS1.z; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 2261.8137088659 Jy (Pogson); lambda_eff 8668.3635610343 A
# wavelength_A  transmission
7930.00 1.000000e-03
7940.00 2.000000e-03
7950.00 2.000000e-03
7960.00 2.000000e-03
7970.00 3.000000e-03
7980.00 4.000000e-03
7990.00 5.000000e-03
8000.00 6.000000e-03
8010.00 7.000000e-03
8020.00 8.000000e-03
8030.00 9.000000e-03
8040.00 1.200000e-02
8050.00 1.500000e-02
8060.00 1.900000e-02
8070.00 2.500000e-02
8080.00 3.400000e-02
8090.00 4.500000e-02
8100.00 6.000000e-02
8110.00 7.900000e-02
8120.00 1.010000e-01
8130.00 1.290000e-01
8140.00 1.600000e-01
8150.00 2.030000e-01
8160.00 2.520000e-01
8170.00 3.180000e-01
8180.00 3.970000e-01
8190.00 4.990000e-01
8200.00 5.880000e-01
8210.00 6.960000e-01
8220.00 7.610000e-01
8230.00 7.500000e-01
8240.00 8.330000e-01
8250.00 8.490000e-01
8260.00 8.500000e-01
8270.00 8.630000e-01
8280.00 8.390000e-01
8290.00 8.600000e-01
8300.00 8.580000e-01
8310.00 8.570000e-01
8320.00 8.450000e-01
8330.00 8.620000e-01
8340.00 8.570000e-01
8350.00 8.670000e-01
8360.00 8.670000e-01
8370.00 8.770000e-01
8380.00 8.790000e-01
8390.00 8.800000e-01
8400.00 8.800000e-01
8410.00 8.760000e-01
8420.00 8.730000e-01
8430.00 8.710000e-01
8440.00 8.690000e-01
8450.00 8.690000e-01
8460.00 8.680000e-01
8470.00 8.680000e-01
8480.00 8.670000e-01
8490.00 8.660000e-01
8500.00 8.650000e-01
8510.00 8.630000e-01
8520.00 8.610000e-01
8530.00 8.580000e-01
8540.00 8.550000e-01
8550.00 8.540000e-01
8560.00 8.520000e-01
8570.00 8.500000e-01
8580.00 8.480000e-01
8590.00 8.480000e-01
8600.00 8.490000e-01
8610.00 8.500000e-01
8620.00 8.510000e-01
8630.00 8.500000e-01
8640.00 8.490000e-01
8650.00 8.490000e-01
8660.00 8.480000e-01
8670.00 8.460000e-01
8680.00 8.450000e-01
8690.00 8.430000e-01
8700.00 8.400000e-01
8710.00 8.390000e-01
8720.00 8.370000e-01
8730.00 8.350000e-01
8740.00 8.330000e-01
8750.00 8.320000e-01
8760.00 8.310000e-01
8770.00 8.290000e-01
8780.00 8.270000e-01
8790.00 8.240000e-01
8800.00 8.200000e-01
8810.00 8.160000e-01
8820.00 8.100000e-01
8830.00 8.060000e-01
8840.00 8.010000e-01
8850.00 7.960000e-01
8860.00 7.920000e-01
8870.00 7.900000e-01
8880.00 7.870000e-01
8890.00 7.860000e-01
8900.00 7.830000e-01
8910.00 7.830000e-01
8920.00 7.810000e-01
8930.00 7.770000e-01
8940.00 7.730000e-01
8950.00 7.640000e-01
8960.00 7.470000e-01
8970.00 7.230000e-01
8980.00 7.270000e-01
8990.00 6.710000e-01
9000.00 7.190000e-01
9010.00 6.970000e-01
9020.00 7.100000e-01
9030.00 6.910000e-01
9040.00 7.300000e-01
9050.00 7.250000e-01
9060.00 7.140000e-01
9070.00 6.870000e-01
9080.00 6.880000e-01
9090.00 6.940000e-01
9100.00 6.830000e-01
9110.00 6.910000e-01
9120.00 6.800000e-01
9130.00 6.660000e-01
9140.00 6.530000e-01
9150.00 6.590000e-01
9160.00 6.250000e-01
9170.00 6.420000e-01
9180.00 5.920000e-01
9190.00 5.900000e-01
9200.00 5.490000e-01
9210.00 5.040000e-01
9220.00 4.290000e-01
9230.00 3.610000e-01
9240.00 2.830000e-01
9250.00 2.140000e-01
9260.00 1.580000e-01
9270.00 1.160000e-01
9280.00 7.900000e-02
9290.00 5.700000e-02
9300.00 3.900000e-02
9310.00 2.800000e-02
9320.00 1.900000e-02
9330.00 1.400000e-02
9340.00 1.000000e-02
9350.00 8.000000e-03
9360.00 6.000000e-03
9370.00 5.000000e-03
9380.00 4.000000e-03
9390.00 4.000000e-03
9400.00 4.000000e-03
9410.00 3.000000e-03
9420.00 2.000000e-03
9430.00 2.000000e-03
9440.00 2.000000e-03
9450.00 1.000000e-03
