# SVO FPS Paranal/VISTA.H; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 1015.5978854334 Jy (Pogson); lambda_eff 16347.740041298 A
# wavelength_A  transmission
14290.00 3.789767e-04
14300.00 6.209699e-04
14310.00 9.558999e-04
14320.00 4.376135e-04
14330.00 1.411100e-03
14340.00 9.667663e-04
14350.00 1.070491e-03
14360.00 1.211646e-03
14370.00 1.492521e-03
14380.00 1.359067e-03
14390.00 2.176432e-03
14400.00 2.152378e-03
14410.00 2.007046e-03
14420.00 1.898372e-03
14430.00 1.633363e-03
14440.00 2.276413e-03
14450.00 2.589834e-03
14460.00 2.226770e-03
14470.00 3.375258e-03
14480.00 3.391805e-03
14490.00 2.070844e-03
14500.00 3.237605e-03
14510.00 3.202791e-03
14520.00 3.886188e-03
14530.00 3.910109e-03
14540.00 3.419191e-03
14550.00 5.067020e-03
14560.00 5.534807e-03
14570.00 6.104592e-03
14580.00 6.225367e-03
14590.00 7.763732e-03
14600.00 7.299905e-03
14610.00 7.985516e-03
14620.00 8.344136e-03
14630.00 7.200631e-03
14640.00 9.256122e-03
14650.00 9.459398e-03
14660.00 1.073291e-02
14670.00 1.066217e-02
14680.00 1.358639e-02
14690.00 1.434981e-02
14700.00 1.451898e-02
14710.00 1.447066e-02
14720.00 1.734440e-02
14730.00 1.992423e-02
14740.00 2.432600e-02
14750.00 2.824977e-02
14760.00 2.762682e-02
14770.00 3.105522e-02
14780.00 3.278681e-02
14790.00 4.126883e-02
14800.00 4.157956e-02
14810.00 4.833804e-02
14820.00 5.299205e-02
14830.00 6.780922e-02
14840.00 7.386025e-02
14850.00 8.369620e-02
14860.00 9.151090e-02
14870.00 9.981916e-02
14880.00 1.165525e-01
14890.00 1.373157e-01
14900.00 1.526591e-01
14910.00 1.721479e-01
14920.00 1.923761e-01
14930.00 2.200700e-01
14940.00 2.474749e-01
14950.00 2.689200e-01
14960.00 2.976669e-01
14970.00 3.358699e-01
14980.00 3.716267e-01
14990.00 4.103467e-01
15000.00 4.478734e-01
15010.00 4.915203e-01
15020.00 5.221258e-01
15030.00 5.538509e-01
15040.00 5.811177e-01
15050.00 6.262428e-01
15060.00 6.671110e-01
15070.00 7.007931e-01
15080.00 7.198090e-01
15090.00 7.262575e-01
15100.00 7.695899e-01
15110.00 7.851018e-01
15120.00 7.935801e-01
15130.00 8.036163e-01
15140.00 8.102106e-01
15150.00 8.124900e-01
15160.00 8.149427e-01
15170.00 8.154621e-01
15180.00 8.105741e-01
15190.00 8.065976e-01
15200.00 8.095717e-01
15210.00 8.003126e-01
15220.00 7.939404e-01
15230.00 7.945048e-01
15240.00 7.848550e-01
15250.00 7.770757e-01
15260.00 7.778476e-01
15270.00 7.692160e-01
15280.00 7.653251e-01
15290.00 7.667588e-01
15300.00 7.598043e-01
15310.00 7.564105e-01
15320.00 7.614520e-01
15330.00 7.553998e-01
15340.00 7.525951e-01
15350.00 7.569015e-01
15360.00 7.535776e-01
15370.00 7.578074e-01
15380.00 7.655007e-01
15390.00 7.602601e-01
15400.00 7.654689e-01
15410.00 7.715238e-01
15420.00 7.705660e-01
15430.00 7.798286e-01
15440.00 7.841559e-01
15450.00 7.844872e-01
15460.00 7.946439e-01
15470.00 7.969468e-01
15480.00 7.982331e-01
15490.00 8.089112e-01
15500.00 8.090018e-01
15510.00 8.110691e-01
15520.00 8.201361e-01
15530.00 8.184304e-01
15540.00 8.228617e-01
15550.00 8.298632e-01
15560.00 8.263860e-01
15570.00 8.313155e-01
15580.00 8.359625e-01
15590.00 8.305623e-01
15600.00 8.381523e-01
15610.00 8.401605e-01
15620.00 8.344513e-01
15630.00 8.407263e-01
15640.00 8.378732e-01
15650.00 8.363661e-01
15660.00 8.420578e-01
15670.00 8.361186e-01
15680.00 8.345989e-01
15690.00 8.320125e-01
15700.00 8.141163e-01
15710.00 8.043407e-01
15720.00 7.956198e-01
15730.00 7.930184e-01
15740.00 8.091908e-01
15750.00 8.232101e-01
15760.00 8.192472e-01
15770.00 8.110299e-01
15780.00 8.032846e-01
15790.00 8.088371e-01
15800.00 8.127578e-01
15810.00 8.170611e-01
15820.00 8.272498e-01
15830.00 8.262273e-01
15840.00 8.319525e-01
15850.00 8.341423e-01
15860.00 8.316458e-01
15870.00 8.366664e-01
15880.00 8.323742e-01
15890.00 8.336714e-01
15900.00 8.348619e-01
15910.00 8.298620e-01
15920.00 8.366558e-01
15930.00 8.335270e-01
15940.00 8.308159e-01
15950.00 8.344254e-01
15960.00 8.284711e-01
15970.00 8.312622e-01
15980.00 8.286065e-01
15990.00 8.201701e-01
16000.00 8.138669e-01
16010.00 7.958202e-01
16020.00 7.881547e-01
16030.00 7.874780e-01
16040.00 7.920532e-01
16050.00 8.127318e-01
16060.00 8.135129e-01
16070.00 8.025031e-01
16080.00 7.973459e-01
16090.00 7.922790e-01
16100.00 7.985977e-01
16110.00 8.000173e-01
16120.00 8.076647e-01
16130.00 8.124398e-01
16140.00 8.134408e-01
16150.00 8.187010e-01
16160.00 8.149077e-01
16170.00 8.193081e-01
16180.00 8.189779e-01
16190.00 8.168616e-01
16200.00 8.206775e-01
