# SVO FPS Paranal/VISTA.J; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 1533.4568782913 Jy (Pogson); lambda_eff 12481.040341623 A
# wavelength_A  transmission
11230.00 3.956655e-04
11240.00 8.208170e-04
11250.00 9.531087e-04
11260.00 9.758133e-04
11270.00 1.191676e-03
11280.00 1.174385e-03
11290.00 1.282260e-03
11300.00 1.356837e-03
11310.00 2.077115e-03
11320.00 2.548775e-03
11330.00 2.446255e-03
11340.00 2.081660e-03
11350.00 1.894832e-03
11360.00 2.744189e-03
11370.00 3.731604e-03
11380.00 4.177769e-03
11390.00 5.077712e-03
11400.00 5.779956e-03
11410.00 5.603848e-03
11420.00 5.855219e-03
11430.00 7.727383e-03
11440.00 8.381156e-03
11450.00 9.182402e-03
11460.00 1.025319e-02
11470.00 1.120707e-02
11480.00 1.441349e-02
11490.00 1.666501e-02
11500.00 1.845991e-02
11510.00 2.377152e-02
11520.00 2.698134e-02
11530.00 3.217456e-02
11540.00 3.852691e-02
11550.00 4.735816e-02
11560.00 5.468525e-02
11570.00 6.927732e-02
11580.00 8.037201e-02
11590.00 1.000784e-01
11600.00 1.203568e-01
11610.00 1.513209e-01
11620.00 1.814916e-01
11630.00 2.255864e-01
11640.00 2.674529e-01
11650.00 3.188500e-01
11660.00 3.697675e-01
11670.00 4.285491e-01
11680.00 4.860563e-01
11690.00 5.338223e-01
11700.00 5.813417e-01
11710.00 6.088778e-01
11720.00 6.382608e-01
11730.00 6.471756e-01
11740.00 6.470788e-01
11750.00 6.575371e-01
11760.00 6.607597e-01
11770.00 6.526646e-01
11780.00 6.378316e-01
11790.00 6.419341e-01
11800.00 6.349217e-01
11810.00 6.313853e-01
11820.00 6.080609e-01
11830.00 6.266476e-01
11840.00 6.209406e-01
11850.00 6.173169e-01
11860.00 6.266245e-01
11870.00 6.251958e-01
11880.00 6.156251e-01
11890.00 6.300072e-01
11900.00 6.380503e-01
11910.00 6.418170e-01
11920.00 6.483317e-01
11930.00 6.527407e-01
