# SVO FPS Paranal/VISTA.Ks; DetectorType 1 (0 energy, 1 photon counter); ZeroPoint 659.09409621139 Jy (Pogson); lambda_eff 21435.422066736 A
# wavelength_A  transmission
19080.00 5.362192e-04
19090.00 8.422189e-04
19100.00 1.013952e-03
19110.00 7.157524e-04
19120.00 7.334346e-04
19130.00 3.675540e-04
19140.00 2.003223e-04
19150.00 1.080646e-03
19160.00 1.232512e-03
19170.00 1.399819e-03
19180.00 2.697950e-03
19190.00 2.295580e-03
19200.00 4.728516e-04
19210.00 7.624343e-04
19220.00 3.121977e-03
19230.00 2.829108e-03
19240.00 1.768318e-03
19250.00 4.114549e-03
19260.00 4.193022e-03
19270.00 2.232685e-03
19280.00 3.901800e-03
19290.00 4.555363e-03
19300.00 5.550104e-03
19310.00 3.672433e-03
19320.00 5.427624e-03
19330.00 6.392704e-03
19340.00 5.598700e-03
19350.00 8.054616e-03
19360.00 7.663382e-03
19370.00 7.857998e-03
19380.00 7.983148e-03
19390.00 8.678798e-03
19400.00 9.948443e-03
19410.00 1.090181e-02
19420.00 1.178645e-02
19430.00 1.303587e-02
19440.00 1.257955e-02
19450.00 1.243062e-02
19460.00 1.688775e-02
19470.00 1.703087e-02
19480.00 1.685430e-02
19490.00 1.835692e-02
19500.00 2.081642e-02
19510.00 2.186337e-02
19520.00 2.233369e-02
19530.00 2.029397e-02
19540.00 2.060574e-02
19550.00 2.058288e-02
19560.00 2.078877e-02
19570.00 2.292944e-02
19580.00 2.514407e-02
19590.00 2.716607e-02
19600.00 3.689548e-02
19610.00 4.262596e-02
19620.00 4.585710e-02
19630.00 4.263395e-02
19640.00 4.599408e-02
19650.00 5.002693e-02
19660.00 5.518333e-02
19670.00 6.304896e-02
19680.00 6.689453e-02
19690.00 7.554845e-02
19700.00 8.274752e-02
19710.00 8.985687e-02
19720.00 9.545614e-02
19730.00 1.117044e-01
19740.00 1.177522e-01
19750.00 1.325681e-01
19760.00 1.453920e-01
19770.00 1.616306e-01
19780.00 1.746133e-01
19790.00 1.865260e-01
19800.00 1.707831e-01
19810.00 2.092291e-01
19820.00 2.325202e-01
19830.00 2.433443e-01
19840.00 2.677271e-01
19850.00 2.728607e-01
19860.00 2.978695e-01
19870.00 2.905731e-01
19880.00 3.343320e-01
19890.00 3.632748e-01
19900.00 3.533559e-01
19910.00 3.943729e-01
19920.00 4.226194e-01
19930.00 4.446015e-01
19940.00 4.584588e-01
19950.00 4.747229e-01
19960.00 4.870324e-01
19970.00 4.741154e-01
19980.00 4.331962e-01
19990.00 4.153532e-01
20000.00 3.731724e-01
20010.00 3.395071e-01
20020.00 3.106784e-01
20030.00 2.812322e-01
20040.00 2.934106e-01
20050.00 2.861641e-01
20060.00 3.056475e-01
20070.00 3.724161e-01
20080.00 4.279718e-01
20090.00 5.359232e-01
20100.00 4.427465e-01
20110.00 4.015049e-01
20120.00 4.020692e-01
20130.00 4.024965e-01
20140.00 4.228615e-01
