# SVO FPS WISE/WISE.W2; DetectorType 0 (0 energy, 1 photon counter); ZeroPoint 171.787 Jy (Pogson); lambda_eff 46028 A
# wavelength_A  transmission
38900.00 1.082500e-04
39000.00 1.545400e-04
39100.00 2.234100e-04
39200.00 4.175000e-04
39300.00 5.683400e-04
39400.00 4.411300e-04
39500.00 1.312400e-03
39600.00 9.263300e-03
39700.00 1.147800e-02
39800.00 1.450900e-02
39900.00 1.867200e-02
40000.00 2.442100e-02
40100.00 3.442600e-02
40200.00 5.055600e-02
40300.00 7.503200e-02
40400.00 1.100100e-01
40500.00 1.570100e-01
40600.00 2.246700e-01
40700.00 3.065000e-01
40800.00 3.971200e-01
40900.00 4.939100e-01
41000.00 5.889400e-01
41100.00 6.726900e-01
41200.00 7.415400e-01
41300.00 7.976100e-01
41400.00 8.385700e-01
41500.00 8.631300e-01
41600.00 8.806600e-01
41700.00 8.911100e-01
41800.00 8.956400e-01
41900.00 8.953900e-01
42000.00 8.939200e-01
42100.00 8.888400e-01
42200.00 8.825100e-01
42300.00 8.761400e-01
42400.00 8.770000e-01
42500.00 8.802800e-01
42600.00 8.811400e-01
42700.00 8.783200e-01
42800.00 8.779400e-01
42900.00 8.812100e-01
43000.00 8.881800e-01
43100.00 8.951700e-01
43200.00 9.021900e-01
43300.00 9.067500e-01
43400.00 9.100800e-01
43500.00 9.109400e-01
43600.00 9.080500e-01
43700.00 9.051400e-01
43800.00 8.997000e-01
43900.00 8.917200e-01
44000.00 8.849500e-01
44100.00 8.794000e-01
44200.00 8.738200e-01
44300.00 8.707400e-01
44400.00 8.663600e-01
44500.00 8.645000e-01
44600.00 8.651700e-01
44700.00 8.696600e-01
44800.00 8.780000e-01
44900.00 8.889400e-01
45000.00 9.012100e-01
45100.00 9.161000e-01
45200.00 9.284600e-01
45300.00 9.421600e-01
45400.00 9.533200e-01
45500.00 9.619200e-01
45600.00 9.692400e-01
45700.00 9.739800e-01
45800.00 9.774200e-01
45900.00 9.769300e-01
46000.00 9.751200e-01
46100.00 9.719700e-01
46200.00 9.661600e-01
46300.00 9.603100e-01
46400.00 9.531100e-01
46500.00 9.458600e-01
46600.00 9.385800e-01
46700.00 9.352500e-01
46800.00 9.319100e-01
46900.00 9.312200e-01
47000.00 9.305200e-01
47100.00 9.338500e-01
47200.00 9.385300e-01
47300.00 9.445700e-01
47400.00 9.546900e-01
47500.00 9.621300e-01
47600.00 9.723200e-01
47700.00 9.798100e-01
47800.00 9.859600e-01
47900.00 9.880200e-01
48000.00 9.900900e-01
48100.00 9.894000e-01
48200.00 9.887000e-01
48300.00 9.893800e-01
48400.00 9.886600e-01
48500.00 9.893200e-01
48600.00 9.899700e-01
48700.00 9.906100e-01
48800.00 9.926500e-01
48900.00 9.946800e-01
49000.00 9.967100e-01
49100.00 9.973500e-01
49200.00 9.993800e-01
49300.00 1.000000e+00
49400.00 9.992100e-01
49500.00 9.969900e-01
49600.00 9.947500e-01
49700.00 9.910800e-01
49800.00 9.859600e-01
49900.00 9.808100e-01
50000.00 9.713500e-01
50100.00 9.632700e-01
50200.00 9.522800e-01
50300.00 9.412500e-01
50400.00 9.301600e-01
50500.00 9.190200e-01
50600.00 9.078300e-01
50700.00 8.965900e-01
50800.00 8.867500e-01
50900.00 8.768600e-01
51000.00 8.669300e-01
51100.00 8.540300e-01
51200.00 8.410700e-01
51300.00 8.207300e-01
51400.00 7.988300e-01
51500.00 7.636100e-01
51600.00 7.267600e-01
51700.00 6.764700e-01
51800.00 6.200700e-01
51900.00 5.560200e-01
52000.00 4.856400e-01
52100.00 4.166200e-01
52200.00 3.471700e-01
52300.00 2.835900e-01
52400.00 2.256000e-01
52500.00 1.750400e-01
52600.00 1.354600e-01
52700.00 9.924800e-02
52800.00 7.593500e-02
52900.00 5.321300e-02
53000.00 4.074600e-02
53100.00 2.830700e-02
53200.00 2.108100e-02
53300.00 1.469700e-02
53400.00 1.043500e-02
53500.00 7.237200e-03
53600.00 4.045700e-03
53700.00 3.048400e-03
53800.00 2.276300e-03
53900.00 1.733900e-03
54000.00 1.289300e-03
54100.00 9.729400e-04
54200.00 7.387600e-04
54300.00 5.488500e-04
54400.00 3.910200e-04
54500.00 3.095300e-04
54600.00 2.154200e-04
54700.00 2.786300e-04
54800.00 3.153100e-04
54900.00 3.135300e-04
55000.00 2.592600e-04
55100.00 2.251000e-04
55200.00 1.953900e-04
55300.00 1.501200e-04
55400.00 1.333300e-04
55500.00 1.042400e-04
55600.00 6.051900e-05
