# Main-sequence T_eff vs Gaia BP-RP: E. Mamajek, 'A Modern Mean Dwarf Stellar Color and Effective
# Temperature Sequence', version 2022.04.16 (Pecaut & Mamajek 2013), dwarf entries with a BP-RP value.
# BP-RP  Teff  SpT
-0.037 9700 A0V
0.005 9300 A1V
0.068 8800 A2V
0.110 8600 A3V
0.166 8250 A4V
0.194 8100 A5V
0.222 7910 A6V
0.263 7760 A7V
0.320 7590 A8V
0.327 7400 A9V
0.377 7220 F0V
0.434 7020 F1V
0.490 6820 F2V
0.518 6750 F3V
0.546 6670 F4V
0.587 6550 F5V
0.640 6350 F6V
0.670 6280 F7V
0.694 6180 F8V
0.719 6050 F9V
0.767 5990 F9.5V
0.784 5930 G0V
0.803 5860 G1V
0.823 5770 G2V
0.832 5720 G3V
0.841 5680 G4V
0.850 5660 G5V
0.869 5600 G6V
0.880 5550 G7V
0.900 5480 G8V
0.950 5380 G9V
0.983 5270 K0V
1.010 5170 K1V
1.100 5100 K2V
1.210 4830 K3V
1.340 4600 K4V
1.430 4440 K5V
1.530 4300 K6V
1.700 4100 K7V
1.730 3990 K8V
1.790 3930 K9V
1.840 3850 M0V
1.970 3770 M0.5V
2.090 3660 M1V
2.130 3620 M1.5V
2.230 3560 M2V
2.390 3470 M2.5V
2.500 3430 M3V
2.780 3270 M3.5V
2.940 3210 M4V
3.160 3110 M4.5V
3.350 3060 M5V
3.710 2930 M5.5V
4.160 2810 M6V
